0.18950156E-3, 0.17278083E-1, 0.15268570E-1, 0.0000000, 0.73158599E-1, 0.33311822E-1, 228.99896
0.19093187E-3, 0.14185736E-1, 0.13268175E-1, 0.0000000, 0.58433812E-1, 0.34084346E-1, 230.73061
0.19214125E-3, 0.13669548E-1, 0.12684169E-1, 0.0000000, 0.48922524E-1, 0.35573393E-1, 232.19281
0.19320677E-3, 0.10186943E-1, 0.10223878E-1, 0.0000000, 0.42625472E-1, 0.38142048E-1, 233.48431
0.19416455E-3, 0.13648832E-1, 0.12212819E-1, 0.0000000, 0.37580088E-1, 0.35941336E-1, 234.63847
0.19500712E-3, 0.14679363E-1, 0.12760190E-1, 0.0000000, 0.33345874E-1, 0.34639265E-1, 235.65573
0.19576646E-3, 0.14950271E-1, 0.12918073E-1, 0.0000000, 0.29913135E-1, 0.33733793E-1, 236.57307
0.19647017E-3, 0.13244197E-1, 0.11831355E-1, 0.0000000, 0.27275708E-1, 0.34301575E-1, 237.42531
0.19702462E-3, 0.15301547E-1, 0.15689850E-1, 0.26747167E-1, 0.24237914E-1, 0.28970284E-1, 238.09329
0.19671099E-3, 0.15424112E-1, 0.19868456E-1, 0.51067635E-1, 0.17707249E-1, 0.21929704E-1, 237.71428
0.19650950E-3, 0.13174289E-1, 0.16599864E-1, 0.29226061E-1, 0.15434818E-1, 0.23279296E-1, 237.47333
0.19659354E-3, 0.12552051E-1, 0.14997216E-1, 0.16458848E-1, 0.14815135E-1, 0.24498820E-1, 237.57565
0.19683133E-3, 0.14848744E-1, 0.15666800E-1, 0.96771279E-2, 0.14620514E-1, 0.25015252E-1, 237.86072
0.19719759E-3, 0.15202194E-1, 0.14630388E-1, 0.11480624E-2, 0.14422398E-1, 0.27046792E-1, 238.30301
0.19762250E-3, 0.16076632E-1, 0.13954454E-1, 0.0000000, 0.14794889E-1, 0.29472860E-1, 238.81569
0.19805216E-3, 0.15006959E-1, 0.12600678E-1, 0.0000000, 0.15814105E-1, 0.31995792E-1, 239.33598
0.19850151E-3, 0.14587940E-1, 0.12057133E-1, 0.0000000, 0.16962644E-1, 0.33351082E-1, 239.87939
0.19897554E-3, 0.16957117E-1, 0.15362649E-1, 0.49326029E-2, 0.19542364E-1, 0.26173737E-1, 240.44998
0.19921458E-3, 0.18890670E-1, 0.17394412E-1, 0.22799833E-1, 0.22839164E-1, 0.23685759E-1, 240.73689
0.19954430E-3, 0.14580140E-1, 0.13970235E-1, 0.95714340E-2, 0.26933482E-1, 0.26234293E-1, 241.13968
0.20020899E-3, 0.13203828E-1, 0.11911858E-1, 0.0000000, 0.32992013E-1, 0.31501848E-1, 241.94453
0.20107803E-3, 0.83426414E-2, 0.84780632E-2, 0.0000000, 0.38292453E-1, 0.36427516E-1, 242.99982
0.20208640E-3, 0.57457299E-2, 0.95292507E-2, 0.0000000, 0.42195823E-1, 0.33919729E-1, 244.22104
0.20322946E-3, 0.55740247E-2, 0.10188613E-1, 0.48135011E-3, 0.46838522E-1, 0.32838181E-1, 245.60262
0.20426328E-3, 0.73331771E-2, 0.11292841E-1, 0.24189286E-1, 0.49664915E-1, 0.30109603E-1, 246.85037
0.20481259E-3, 0.69052819E-2, 0.10340896E-1, 0.36852274E-1, 0.48052393E-1, 0.27891021E-1, 247.51456
0.20543374E-3, 0.63751484E-2, 0.96761500E-2, 0.19744819E-1, 0.45668006E-1, 0.29300597E-1, 248.26579
0.20611129E-3, 0.63168714E-2, 0.10892333E-1, 0.30663531E-1, 0.43787535E-1, 0.29242225E-1, 249.08464
0.20611849E-3, 0.78881830E-2, 0.12426600E-1, 0.74145705E-1, 0.39768267E-1, 0.25610466E-1, 249.09178
0.20546223E-3, 0.99167200E-2, 0.13997271E-1, 0.90148948E-1, 0.34363065E-1, 0.22719905E-1, 248.29666
0.20453065E-3, 0.14346110E-1, 0.16977439E-1, 0.89719094E-1, 0.29990630E-1, 0.20602513E-1, 247.16637
