0.31679656E-1, 0.17484207E-1, 0.22131169E-1, 0.59850444E-2, 0.30982861E-3
0.31244293E-1, 0.17243814E-1, 0.21826303E-1, 0.59025884E-2, 0.30556010E-3
0.30602129E-1, 0.16889287E-1, 0.21376977E-1, 0.57810671E-2, 0.29926930E-3
0.30391537E-1, 0.16772944E-1, 0.21229126E-1, 0.57410742E-2, 0.29719900E-3
0.31031057E-1, 0.17125776E-1, 0.21675078E-1, 0.58616675E-2, 0.30344178E-3
0.29974518E-1, 0.16542567E-1, 0.20936372E-1, 0.56618880E-2, 0.29309976E-3
0.31904452E-1, 0.17607549E-1, 0.22283575E-1, 0.60262075E-2, 0.31195953E-3
0.33719461E-1, 0.18609099E-1, 0.23550486E-1, 0.63688126E-2, 0.32969521E-3
0.37388701E-1, 0.20633951E-1, 0.26112383E-1, 0.70616221E-2, 0.36555997E-3
0.41439924E-1, 0.22869613E-1, 0.28941073E-1, 0.78265760E-2, 0.40515943E-3
0.43116979E-1, 0.23795035E-1, 0.30111760E-1, 0.81431512E-2, 0.42154765E-3
0.54395847E-1, 0.30019412E-1, 0.37988048E-1, 0.10273123E-1, 0.53181022E-3
0.61714407E-1, 0.34058273E-1, 0.43099165E-1, 0.11655293E-1, 0.60336123E-3
0.92911780E-1, 0.51275190E-1, 0.64887218E-1, 0.17547378E-1, 0.90837770E-3
0.91124915E-1, 0.50289527E-1, 0.63643314E-1, 0.17210916E-1, 0.89096010E-3
0.70336081E-1, 0.38817033E-1, 0.49126979E-1, 0.13285240E-1, 0.68773911E-3
0.50754037E-1, 0.28010191E-1, 0.35450667E-1, 0.95867692E-2, 0.49627980E-3
0.42082768E-1, 0.23224643E-1, 0.29393870E-1, 0.79488363E-2, 0.41148873E-3
0.38717743E-1, 0.21367468E-1, 0.27043022E-1, 0.73130932E-2, 0.37857812E-3
0.39801102E-1, 0.21965247E-1, 0.27799098E-1, 0.75175408E-2, 0.38916178E-3
0.33696242E-1, 0.18596044E-1, 0.23534676E-1, 0.63643288E-2, 0.32946325E-3
0.32998968E-1, 0.18211124E-1, 0.23046985E-1, 0.62324349E-2, 0.32263546E-3
0.32092869E-1, 0.17710965E-1, 0.22413453E-1, 0.60611041E-2, 0.31376618E-3
0.31429283E-1, 0.17344644E-1, 0.21949299E-1, 0.59355772E-2, 0.30726803E-3
0.37630666E-1, 0.20766819E-1, 0.26279282E-1, 0.71064914E-2, 0.36788292E-3
0.36092848E-1, 0.19918060E-1, 0.25204754E-1, 0.68159034E-2, 0.35284003E-3
0.34618154E-1, 0.19104138E-1, 0.24174297E-1, 0.65372349E-2, 0.33841413E-3
0.33203792E-1, 0.18323511E-1, 0.23185970E-1, 0.62699607E-2, 0.32457805E-3
