0.16633520E-3, 0.10446543E-1, -0.39608032E-3, 0.51849149E-2, 0.20878248E-3, 0.33468876E-2, 199.71597
0.16591881E-3, 0.11817163E-1, -0.94682910E-4, 0.11436568E-1, 0.77467895E-3, 0.33587585E-2, 199.44659
0.16543490E-3, 0.14830812E-1, 0.25192462E-3, 0.14121966E-1, 0.10326660E-2, 0.33764571E-2, 199.07582
0.16494771E-3, 0.14419466E-1, 0.50304271E-3, 0.13723175E-1, 0.12857189E-2, 0.33958023E-2, 198.67711
0.16454679E-3, 0.98728007E-2, 0.52867224E-3, 0.12033988E-1, 0.15155848E-2, 0.34139790E-2, 198.35379
0.10285980, 0.71317609E-2, 0.65128412E-3, 0.92261098E-2, 0.15663017E-2, 0.34291120E-2, 197.57611
0.25149426, 0.77417763E-2, 0.97901374E-3, 0.12628648E-1, 0.11359552E-2, 0.34420982E-2, 193.26454
0.54382119E-1, 0.67802742E-2, 0.10878774E-2, 0.10872803E-1, 0.10879099E-2, 0.34552047E-2, 188.50670
0.92513539E-1, 0.40968456E-2, 0.87013515E-3, 0.50968821E-2, 0.15432714E-2, 0.34626930E-2, 186.94000
0.15472696E-3, 0.48610242E-2, 0.10506040E-2, 0.10131627E-1, 0.20091312E-2, 0.34710756E-2, 185.79218
0.15448952E-3, 0.62441505E-2, 0.12603169E-2, 0.10728246E-1, 0.19345732E-2, 0.34823231E-2, 185.72150
0.15425250E-3, 0.59964983E-2, 0.10544697E-2, 0.11397415E-1, 0.21335264E-2, 0.34943765E-2, 185.63786
0.15405293E-3, 0.66160974E-2, 0.91322116E-3, 0.86361710E-2, 0.30737149E-2, 0.35064844E-2, 185.57254
0.15386645E-3, 0.78466190E-2, 0.90480247E-3, 0.11604987E-1, 0.42521870E-2, 0.35206750E-2, 185.49138
0.15369614E-3, 0.83778761E-2, 0.85324212E-3, 0.10713100E-1, 0.51327846E-2, 0.35368113E-2, 185.40129
0.15352994E-3, 0.93960213E-2, 0.88080345E-3, 0.12171744E-1, 0.56045600E-2, 0.35541891E-2, 185.28937
0.15335098E-3, 0.10779086E-1, 0.90954732E-3, 0.12505764E-1, 0.58210469E-2, 0.35730887E-2, 185.14009
0.15316519E-3, 0.10763664E-1, 0.86308597E-3, 0.13788905E-1, 0.60500042E-2, 0.35935026E-2, 184.96660
0.15296553E-3, 0.10714961E-1, 0.85314736E-3, 0.14839275E-1, 0.60818377E-2, 0.36170585E-2, 184.76237
0.15275762E-3, 0.10442697E-1, 0.84041595E-3, 0.15372229E-1, 0.64501953E-2, 0.36432445E-2, 184.53761
0.15253665E-3, 0.13116001E-1, 0.95832627E-3, 0.17499696E-1, 0.69751232E-2, 0.36708254E-2, 184.28674
0.15225110E-3, 0.15056336E-1, 0.10301096E-2, 0.17667642E-1, 0.72191539E-2, 0.37010196E-2, 183.95390
0.15201104E-3, 0.98886276E-2, 0.80124289E-3, 0.16173745E-1, 0.73981159E-2, 0.37296882E-2, 183.67886
0.15181507E-3, 0.12486320E-1, 0.92746620E-3, 0.16848275E-1, 0.78801028E-2, 0.37576864E-2, 183.44624
0.15162578E-3, 0.10701521E-1, 0.84285904E-3, 0.15716447E-1, 0.82206093E-2, 0.37849846E-2, 183.22406
0.15152665E-3, 0.82571851E-2, 0.70968294E-3, 0.12029518E-1, 0.88790888E-2, 0.38079720E-2, 183.10999
0.15156328E-3, 0.76746247E-2, 0.65654726E-3, 0.93917977E-2, 0.10053210E-1, 0.38230268E-2, 183.15717
0.15165380E-3, 0.60687759E-2, 0.55964512E-3, 0.80434848E-2, 0.11285787E-1, 0.38360441E-2, 183.26974
0.15191773E-3, 0.37373551E-2, 0.53187856E-3, 0.18762668E-2, 0.12359128E-1, 0.38363754E-2, 183.59204
0.15226075E-3, 0.33848998E-2, 0.57714479E-3, 0.72259834E-3, 0.12152015E-1, 0.38293418E-2, 184.00737
0.15258708E-3, 0.35816673E-2, 0.63389726E-3, 0.47459798E-2, 0.12518583E-1, 0.38236738E-2, 184.40187
0.15286346E-3, 0.43339003E-2, 0.63428725E-3, 0.69835074E-2, 0.13718810E-1, 0.38251586E-2, 184.73653
0.15306826E-3, 0.40014908E-2, 0.51034195E-3, 0.10506485E-1, 0.13830608E-1, 0.38359757E-2, 184.98575
0.15323545E-3, 0.60894229E-2, 0.56409161E-3, 0.11439561E-1, 0.14150018E-1, 0.38516230E-2, 185.18832
0.15341961E-3, 0.51891333E-2, 0.48487959E-3, 0.77091656E-2, 0.14618221E-1, 0.38650900E-2, 185.41484
0.15370385E-3, 0.51973858E-2, 0.45989652E-3, 0.38144921E-2, 0.14671865E-1, 0.38700299E-2, 185.76038
0.15401332E-3, 0.59051900E-2, 0.45905460E-3, 0.35224052E-2, 0.14747827E-1, 0.38705373E-2, 186.13541
0.15433264E-3, 0.45968830E-2, 0.39407518E-3, 0.29449840E-2, 0.14779990E-1, 0.38707422E-2, 186.52197
0.15463203E-3, 0.80480650E-2, 0.53490570E-3, 0.47366451E-2, 0.14512421E-1, 0.38722353E-2, 186.88055
