0.22950487E-1, 0.14564773E-1, 0.16853569E-1, 0.47088154E-2, 0.24767267E-3
0.22316469E-1, 0.14162403E-1, 0.16387690E-1, 0.45786472E-2, 0.24082612E-3
0.21699969E-1, 0.13771150E-1, 0.15934676E-1, 0.44520744E-2, 0.23416871E-3
0.21102009E-1, 0.13391662E-1, 0.15495280E-1, 0.43293061E-2, 0.22771137E-3
0.20663098E-1, 0.13113106E-1, 0.15172672E-1, 0.42391685E-2, 0.22297037E-3
0.20373967E-1, 0.12929604E-1, 0.14960053E-1, 0.41797613E-2, 0.21984565E-3
0.19813091E-1, 0.12573647E-1, 0.14547903E-1, 0.40646060E-2, 0.21378876E-3
0.20364285E-1, 0.12923422E-1, 0.14952040E-1, 0.41775173E-2, 0.21972762E-3
0.22119440E-1, 0.14037247E-1, 0.16240109E-1, 0.45373933E-2, 0.23865627E-3
0.23475999E-1, 0.14898121E-1, 0.17235771E-1, 0.48155719E-2, 0.25328781E-3
0.31296954E-1, 0.19861372E-1, 0.22977427E-1, 0.64197518E-2, 0.33766395E-3
0.85092105E-1, 0.54000407E-1, 0.62472127E-1, 0.17454311E-1, 0.91805606E-3
0.10353720, 0.65706819E-1, 0.76019660E-1, 0.21239353E-1, 0.11171402E-2
0.11914779, 0.75615041E-1, 0.87490290E-1, 0.24444086E-1, 0.12857015E-2
0.11699297, 0.74249201E-1, 0.85918777E-1, 0.24004929E-1, 0.12626030E-2
0.81911996E-1, 0.51986333E-1, 0.60162924E-1, 0.16808916E-1, 0.88410958E-3
0.40921055E-1, 0.25971340E-1, 0.30057896E-1, 0.83978530E-2, 0.44170741E-3
0.31207511E-1, 0.19806523E-1, 0.22923175E-1, 0.64044804E-2, 0.33686071E-3
0.26603067E-1, 0.16884234E-1, 0.19540913E-1, 0.54595098E-2, 0.28715743E-3
0.24809249E-1, 0.15745748E-1, 0.18223062E-1, 0.50913123E-2, 0.26779113E-3
0.24453558E-1, 0.15519997E-1, 0.17961528E-1, 0.50182389E-2, 0.26394762E-3
0.23443524E-1, 0.14878946E-1, 0.17219368E-1, 0.48108851E-2, 0.25304127E-3
0.22947902E-1, 0.14564381E-1, 0.16855044E-1, 0.47090938E-2, 0.24768731E-3
0.22461899E-1, 0.14255918E-1, 0.16497783E-1, 0.46092761E-2, 0.24243712E-3
0.21388926E-1, 0.13574923E-1, 0.15709417E-1, 0.43890132E-2, 0.23085180E-3
0.21084826E-1, 0.13381903E-1, 0.15485752E-1, 0.43265210E-2, 0.22756487E-3
0.20783028E-1, 0.13190346E-1, 0.15263780E-1, 0.42645019E-2, 0.22430283E-3
0.20628875E-1, 0.13092492E-1, 0.15150244E-1, 0.42327791E-2, 0.22263425E-3
0.20194262E-1, 0.12816641E-1, 0.14830740E-1, 0.41435114E-2, 0.21793898E-3
0.20042717E-1, 0.12720441E-1, 0.14719121E-1, 0.41123233E-2, 0.21629858E-3
0.19620510E-1, 0.12452461E-1, 0.14408735E-1, 0.40256036E-2, 0.21173732E-3
0.20167602E-1, 0.12799662E-1, 0.14810165E-1, 0.41377554E-2, 0.21763625E-3
0.22040594E-1, 0.13988364E-1, 0.16185248E-1, 0.45219320E-2, 0.23784302E-3
0.24163032E-1, 0.15335381E-1, 0.17743492E-1, 0.49572801E-2, 0.26074133E-3
0.32101139E-1, 0.20373397E-1, 0.23572257E-1, 0.65857489E-2, 0.34639495E-3
0.89912973E-1, 0.57064485E-1, 0.66023894E-1, 0.18446108E-1, 0.97022211E-3
0.11491138, 0.72931208E-1, 0.84387362E-1, 0.23576524E-1, 0.12400700E-2
0.12517697, 0.79448208E-1, 0.91937020E-1, 0.25685690E-1, 0.13510073E-2
0.11809083, 0.74952520E-1, 0.86744197E-1, 0.24234809E-1, 0.12746940E-2
0.85997686E-1, 0.54584149E-1, 0.63177831E-1, 0.17650716E-1, 0.92838629E-3
0.42813364E-1, 0.27174741E-1, 0.31455036E-1, 0.87879319E-2, 0.46222462E-3
0.31722274E-1, 0.20135017E-1, 0.23306660E-1, 0.65114247E-2, 0.34248567E-3
0.26649227E-1, 0.16915035E-1, 0.19579343E-1, 0.54700794E-2, 0.28771337E-3
0.24638308E-1, 0.15638646E-1, 0.18101677E-1, 0.50572446E-2, 0.26599923E-3
0.22007823E-1, 0.13968997E-1, 0.16168818E-1, 0.45172395E-2, 0.23759624E-3
0.21214727E-1, 0.13465581E-1, 0.15585837E-1, 0.43543633E-2, 0.22902933E-3
0.20594321E-1, 0.13071775E-1, 0.15129728E-1, 0.42269332E-2, 0.22232677E-3
0.20155160E-1, 0.12793007E-1, 0.14806775E-1, 0.41367044E-2, 0.21758098E-3
0.20989100E-1, 0.13322311E-1, 0.15419073E-1, 0.43077655E-2, 0.22657836E-3
0.20686142E-1, 0.13129996E-1, 0.15196194E-1, 0.42454940E-2, 0.22330307E-3
0.20234762E-1, 0.12843477E-1, 0.14864285E-1, 0.41527641E-2, 0.21842566E-3
0.20083027E-1, 0.12747145E-1, 0.14752490E-1, 0.41215285E-2, 0.21678275E-3
0.19933118E-1, 0.12651972E-1, 0.14642041E-1, 0.40906686E-2, 0.21515961E-3
0.19508528E-1, 0.12382456E-1, 0.14329830E-1, 0.40034414E-2, 0.21057166E-3
0.19223500E-1, 0.12201522E-1, 0.14120135E-1, 0.39448547E-2, 0.20749014E-3
0.20019596E-1, 0.12706799E-1, 0.14704541E-1, 0.41081225E-2, 0.21607762E-3
