1.1757741, 21902.320, -1.9781518, -36849.012, 66.655411, 4913.1064, 6.1451130, 147.01291, 666.11426, 557.52454, 231.83284, 5049.4243, 2722.7844, 21902.320
1.4208165, 26466.971, -1.7336782, -32294.957, 67.379829, 4856.1489, 6.8261499, 170.46429, 722.43365, 590.92822, 251.12486, 5577.8413, 2767.9395, 26466.971
1.5389367, 28667.312, -1.6413795, -30575.617, 67.894005, 5105.1699, 7.2736435, 186.24393, 762.63568, 623.40454, 266.07938, 6061.6646, 2824.9648, 28667.312
1.6339390, 30437.016, -1.5642267, -29138.416, 68.363602, 5422.0542, 7.6432843, 199.40042, 798.24634, 655.04230, 279.74350, 6505.3301, 2893.3975, 30437.016
1.7191908, 32025.088, -1.4981575, -27907.678, 68.755058, 5751.5122, 7.9500904, 211.14973, 829.95160, 684.51910, 292.48996, 6913.9321, 2973.7209, 32025.088
1.7999806, 33530.039, -1.4393455, -26812.127, 69.024597, 6081.6719, 8.1320810, 222.02855, 857.30798, 711.59723, 304.83643, 7291.1348, 3063.7695, 33530.039
1.8673754, 34785.469, -1.3900456, -25893.770, 69.118355, 6370.5669, 8.1787958, 228.24603, 872.00616, 729.47943, 312.64951, 7630.5024, 3161.4814, 34785.469
1.9026998, 35443.492, -1.3616778, -25365.334, 69.205009, 6577.9385, 8.2210245, 236.42757, 889.09259, 746.52026, 321.08340, 7899.4409, 3264.2844, 35443.492
1.9619216, 36546.676, -1.3260746, -24702.117, 69.292343, 6814.3574, 8.2628736, 244.93361, 908.79688, 765.84821, 330.17944, 8144.9258, 3371.2317, 36546.676
2.0194767, 37618.812, -1.2958167, -24138.473, 69.371544, 7059.2153, 8.2741785, 254.66397, 928.63062, 785.23468, 338.82599, 8364.1748, 3481.6033, 37618.812
2.0699532, 38559.090, -1.2678337, -23617.207, 69.508568, 7292.0205, 8.3532715, 263.24280, 947.31152, 802.95850, 345.92059, 8566.3496, 3594.6733, 38559.090
2.1189594, 39471.977, -1.2396502, -23092.205, 69.706505, 7519.8081, 8.4786463, 270.89166, 966.78516, 820.94373, 352.85025, 8755.6729, 3709.9316, 39471.977
2.1627688, 40288.059, -1.2150043, -22633.100, 69.954239, 7730.6797, 8.6156025, 278.39883, 987.66571, 839.21893, 359.87442, 8932.8779, 3826.8364, 40288.059
2.2052295, 41079.016, -1.1906134, -22178.746, 70.097473, 7931.3047, 8.7005320, 285.82462, 1005.0334, 855.21637, 366.14072, 9099.0176, 3945.0649, 41079.016
2.2469649, 41856.465, -1.1653088, -21707.373, 70.216576, 8124.4897, 8.7937212, 293.69980, 1022.9042, 870.97998, 372.16336, 9255.1006, 4064.3008, 41856.465
2.2851603, 42567.965, -1.1409274, -21253.195, 70.323448, 8306.7422, 8.8676424, 301.51556, 1037.8938, 884.80774, 377.51050, 9402.6055, 4175.1387, 42567.965
2.3264930, 43337.914, -1.1165847, -20799.738, 70.705414, 8493.2607, 9.0901747, 311.29053, 1059.9744, 902.20526, 383.49866, 9543.7236, 4283.1514, 43337.914
2.3687775, 44125.586, -1.0907700, -20318.863, 70.928085, 8681.7344, 9.1762705, 319.73831, 1076.9764, 916.83801, 388.88922, 9682.7178, 4392.1323, 44125.586
2.4039881, 44781.492, -1.0686505, -19906.822, 71.937943, 8860.8428, 9.5698776, 327.62650, 1097.2815, 932.18585, 393.62958, 9813.2109, 4501.6602, 44781.492
2.4397078, 45446.875, -1.0487390, -19535.908, 73.026375, 9026.0518, 10.056288, 336.78244, 1122.7720, 949.99884, 398.68408, 9936.6006, 4611.5205, 45446.875
2.4741313, 46088.117, -1.0266227, -19123.926, 73.840530, 9194.9600, 10.488191, 345.04306, 1146.2186, 966.44159, 403.12967, 10054.788, 4721.5142, 46088.117
2.5100989, 46758.125, -1.0023918, -18672.555, 74.430099, 9364.6475, 10.850371, 352.00763, 1167.1010, 981.76929, 407.20496, 10173.802, 4831.5171, 46758.125
2.5412045, 47337.555, -0.98107737, -18275.510, 75.168037, 9513.2832, 11.298715, 359.15125, 1188.9285, 996.88953, 410.80145, 10288.566, 4941.3379, 47337.555
2.5720894, 47912.883, -0.95899612, -17864.180, 75.869766, 9662.2656, 11.639773, 365.37607, 1207.7296, 1010.3689, 414.14075, 10400.282, 5050.8896, 47912.883
2.6017931, 48466.199, -0.93792999, -17471.760, 76.524796, 9803.4297, 11.897829, 370.60339, 1223.5851, 1022.2900, 417.37085, 10507.219, 5160.0620, 48466.199
2.6316035, 49021.512, -0.91680795, -17078.299, 77.058914, 9933.7383, 12.185376, 375.60654, 1238.4440, 1033.4955, 420.29840, 10609.400, 5268.7773, 49021.512
2.6600161, 49550.781, -0.89687210, -16706.934, 77.466095, 10068.329, 12.439195, 380.35825, 1253.0284, 1044.7849, 423.23941, 10709.190, 5376.8452, 49550.781
2.6868188, 50050.062, -0.87722248, -16340.900, 77.747238, 10198.307, 12.587917, 383.98331, 1263.2524, 1053.6921, 425.90308, 10806.235, 5484.2339, 50050.062
2.7137649, 50552.012, -0.85882467, -15998.186, 77.904861, 10315.916, 12.668874, 386.88351, 1271.2717, 1061.3248, 428.43542, 10900.373, 5590.8955, 50552.012
2.7417364, 51073.066, -0.84169894, -15679.168, 78.029564, 10436.848, 12.720935, 389.84198, 1277.9230, 1068.3457, 430.90894, 10991.911, 5696.7319, 51073.066
2.7639883, 51487.574, -0.82579607, -15382.930, 78.139992, 10549.414, 12.768219, 392.78397, 1284.7740, 1075.2930, 433.36850, 11075.378, 5801.5322, 51487.574
2.7890544, 51954.504, -0.80973941, -15083.825, 78.347542, 10666.992, 12.844993, 396.42493, 1292.0044, 1082.3307, 435.82831, 11155.860, 5905.2324, 51954.504
2.8124511, 52390.340, -0.79407263, -14791.985, 78.452133, 10774.244, 12.879967, 399.54169, 1298.0370, 1088.7523, 438.40842, 11233.675, 6007.7139, 52390.340
2.8355594, 52820.801, -0.77842176, -14500.440, 78.733658, 10876.876, 12.936264, 402.73380, 1303.7722, 1094.5719, 440.70837, 11307.889, 6108.9956, 52820.801
2.8570397, 53220.938, -0.76364362, -14225.153, 79.031906, 10976.235, 12.982786, 405.29099, 1308.3015, 1099.4731, 442.76291, 11378.449, 6208.9849, 53220.938
2.8811393, 53669.863, -0.74917120, -13955.562, 79.294403, 11082.311, 13.034582, 407.99265, 1314.4862, 1105.5884, 444.98599, 11447.792, 6307.6255, 53669.863
2.9029138, 54075.480, -0.73498410, -13691.284, 79.430656, 11179.010, 13.070752, 410.02972, 1319.5326, 1110.9282, 446.93524, 11515.762, 6405.0078, 54075.480
2.9225881, 54441.973, -0.72206551, -13450.637, 79.509460, 11263.754, 13.099654, 411.62302, 1323.7876, 1115.5554, 448.51611, 11578.476, 6501.1206, 54441.973
2.9408660, 54782.453, -0.71004832, -13226.780, 79.594902, 11344.390, 13.130191, 413.38123, 1328.1373, 1120.1205, 450.10526, 11636.259, 6595.8364, 54782.453
2.9559553, 55063.535, -0.69917274, -13024.189, 79.689323, 11416.654, 13.165052, 414.78503, 1331.6729, 1123.8425, 451.31088, 11688.830, 6688.9956, 55063.535
2.9681363, 55290.441, -0.68992674, -12851.955, 79.733589, 11477.870, 13.181259, 415.78497, 1334.3947, 1126.9523, 452.42661, 11735.532, 6780.3892, 55290.441
2.9781504, 55476.984, -0.68232507, -12710.352, 79.758774, 11528.256, 13.197934, 416.60535, 1336.5734, 1129.4484, 453.28015, 11776.181, 6869.9072, 55476.984
2.9862411, 55627.699, -0.67573035, -12587.505, 79.799210, 11569.989, 13.214827, 417.34705, 1338.6732, 1131.6835, 454.06165, 11810.785, 6957.3296, 55627.699
2.9930162, 55753.906, -0.67014134, -12483.393, 79.820229, 11602.427, 13.227571, 417.94260, 1340.2083, 1133.3926, 454.66626, 11839.844, 7042.3877, 55753.906
2.9989171, 55863.828, -0.66577125, -12401.986, 79.847542, 11628.987, 13.236207, 418.46872, 1341.4521, 1134.7645, 455.13367, 11863.835, 7124.8306, 55863.828
3.0037968, 55954.727, -0.66216588, -12334.826, 79.906601, 11651.267, 13.244029, 418.86661, 1342.1503, 1135.6627, 455.46881, 11883.626, 7204.5020, 55954.727
3.0070314, 56014.980, -0.65921396, -12279.838, 79.906914, 11667.229, 13.246446, 419.05765, 1342.6794, 1136.3645, 455.74292, 11899.939, 7281.4146, 56014.980
3.0098763, 56067.977, -0.65686750, -12236.128, 79.909302, 11680.075, 13.249620, 419.26199, 1343.1129, 1136.9335, 455.95651, 11913.177, 7355.5493, 56067.977
3.0124640, 56116.180, -0.65510219, -12203.244, 79.914452, 11691.067, 13.253085, 419.42072, 1343.5593, 1137.4685, 456.14484, 11924.006, 7426.9849, 56116.180
3.0142417, 56149.293, -0.65355629, -12174.446, 79.927780, 11699.364, 13.256524, 419.53513, 1343.9724, 1137.9327, 456.30841, 11932.911, 7495.6240, 56149.293
3.0157452, 56177.301, -0.65222645, -12149.675, 79.934608, 11706.233, 13.257455, 419.61838, 1344.2183, 1138.2511, 456.44547, 11940.188, 7561.5283, 56177.301
3.0172396, 56205.141, -0.65110701, -12128.821, 79.934357, 11712.697, 13.259615, 419.73129, 1344.4443, 1138.5402, 456.55573, 11946.195, 7624.6738, 56205.141
3.0183973, 56226.707, -0.65011662, -12110.372, 79.938393, 11718.164, 13.260784, 419.84320, 1344.6971, 1138.8328, 456.69281, 11951.239, 7685.0581, 56226.707
3.0193939, 56245.270, -0.64924777, -12094.188, 79.937119, 11722.518, 13.261182, 419.88461, 1344.8020, 1139.0005, 456.76907, 11955.698, 7742.7373, 56245.270
3.0208046, 56271.547, -0.64861965, -12082.487, 79.928253, 11728.278, 13.261435, 420.03384, 1345.0665, 1139.3058, 456.88739, 11959.407, 7797.7017, 56271.547
3.0213766, 56282.203, -0.64776516, -12066.569, 79.956467, 11731.490, 13.265519, 420.08270, 1345.2184, 1139.4519, 456.94775, 11962.688, 7849.8506, 56282.203
