0.83007976E-1, 0.98262125, 0.51989113E-2, 0.20418458, 0.32726589, 0.23913169, 2.8358474, 27.142006, 14.801899, 0.61915416, 7.5337877, 0.29616594, 0.17113765E-2, 11.417396, 10429.333, 21478.967, 336894.03, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.83910123E-1, 0.97122985, 0.57750847E-2, 0.23675597, 0.36265415, 0.26349008, 3.0717144, 29.643436, 15.052677, 0.45241572E-1, 9.0724707, 0.32378709, 0.20363566E-2, 14.713876, 12376.068, 25453.398, 336879.78, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.84550448E-1, 1.0210340, 0.61536748E-2, 0.25867212, 0.38606930, 0.28072610, 3.2545824, 31.854767, 15.382560, 0.33981126E-1, 10.403402, 0.34987199, 0.21524495E-2, 16.096058, 13031.729, 26787.219, 336879.59, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.85135244E-1, 1.0844108, 0.64663994E-2, 0.27694502, 0.40595046, 0.29576460, 3.4216866, 33.775799, 15.774417, 0.27304241E-1, 11.468675, 0.37281072, 0.22449887E-2, 17.197226, 13534.834, 27809.605, 336877.78, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.85622743E-1, 1.1503025, 0.67259651E-2, 0.29326352, 0.42343834, 0.30923545, 3.5773418, 35.746140, 15.934888, 0.21850385E-1, 12.411094, 0.39399558, 0.23253874E-2, 18.171074, 13956.468, 28665.697, 336877.66, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.85958406E-1, 1.2163343, 0.68799336E-2, 0.30837297, 0.43882516, 0.32147181, 3.7283678, 37.646973, 16.045420, 0.16276950E-1, 13.286124, 0.41562468, 0.23982967E-2, 19.078634, 14334.795, 29433.305, 336877.66, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.86075164E-1, 1.2741134, 0.69194548E-2, 0.31700838, 0.44687316, 0.32842481, 3.8239136, 39.356899, 16.343948, 0.35468990E-2, 14.142268, 0.26816550, 0.24550364E-2, 19.821102, 14620.709, 30013.117, 336877.62, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.86183079E-1, 1.3155876, 0.69551808E-2, 0.32837164, 0.45725781, 0.33671507, 3.9271188, 40.704922, 16.823133, 0.66663879E-2, 14.799139, 0.0000000, 0.24837782E-2, 20.197960, 14756.296, 30287.850, 336877.62, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.86291835E-1, 1.3628715, 0.69905864E-2, 0.34018555, 0.46866587, 0.34579805, 4.0382700, 41.934166, 17.321846, 0.47833477E-2, 15.420774, 0.0000000, 0.25299585E-2, 20.821356, 14974.136, 30729.137, 336877.62, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.86390465E-1, 1.4118432, 0.70001511E-2, 0.35369995, 0.48045307, 0.35508329, 4.1441946, 43.086411, 17.837053, -0.85626489E-4, 16.005367, 0.0000000, 0.25690997E-2, 21.417097, 15149.729, 31084.787, 336877.62, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.86561099E-1, 1.4584042, 0.70670652E-2, 0.36561498, 0.49093693, 0.36319205, 4.2309241, 44.167732, 18.364870, 0.36744613E-2, 16.544443, 0.0000000, 0.26073626E-2, 21.941557, 15317.112, 31423.646, 336877.62, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
