204.31300, 6399.6680, 241.60620, 473.91730, 323.34564, 1193.8848, 223.45709, 4579.7437, 2692.6753, .30525677E-01, .63405931E-01, 9.3999958, -.39273426E-02
204.25082, 6399.6431, 240.61937, 473.82721, 324.73767, 1194.6837, 224.23094, 4580.2827, 2692.8655, .26598338E-01, .55251714E-01, 9.3999929, -.34430047E-03
204.20683, 6399.6382, 239.68900, 473.74930, 326.13062, 1195.4977, 224.30141, 4580.3325, 2692.8831, .26254037E-01, .54536801E-01, 9.3999872, -.31192007E-03
204.14624, 6399.6147, 238.73749, 473.66299, 327.51962, 1196.3102, 224.36775, 4580.3794, 2692.8994, .25942119E-01, .53889126E-01, 9.3999825, -.16720300E-02
204.08128, 6399.5869, 237.78688, 473.57465, 328.90247, 1197.1144, 224.70557, 4580.6133, 2692.9817, .24270087E-01, .50417159E-01, 9.3999825, -.17682905E-02
203.99594, 6399.5361, 236.76349, 473.46967, 330.28082, 1197.9159, 225.06389, 4580.8589, 2693.0691, .22501791E-01, .46745103E-01, 9.3999825, -.17590135E-03
203.93423, 6399.5107, 235.79680, 473.37851, 331.65714, 1198.7241, 225.10735, 4580.8877, 2693.0803, .22325886E-01, .46379805E-01, 9.3999825, -.50234259E-02
203.84119, 6399.4507, 234.76520, 473.26865, 333.02209, 1199.5062, 226.11194, 4581.5728, 2693.3218, .17302463E-01, .35946961E-01, 9.3999825, -.26588996E-02
203.65141, 6399.3296, 233.61743, 473.12622, 334.40900, 1200.3167, 226.65015, 4581.9390, 2693.4509, .14643563E-01, .30424194E-01, 9.3999825, -.97683602E-04
203.53043, 6399.2852, 232.63156, 473.02505, 335.79501, 1201.1384, 226.67979, 4581.9575, 2693.4580, .14545879E-01, .30221285E-01, 9.3999825, -.52165537E-03
203.46097, 6399.2505, 231.67595, 472.92978, 337.15289, 1201.9365, 226.79330, 4582.0342, 2693.4849, .14024225E-01, .29137708E-01, 9.3999815, -.22754793E-02
203.37399, 6399.1963, 230.69296, 472.82483, 338.50397, 1202.7242, 227.25601, 4582.3462, 2693.5955, .11748746E-01, .24410881E-01, 9.3999805, -.66498556E-03
203.25583, 6399.1064, 229.65173, 472.70206, 339.85287, 1203.5181, 227.39870, 4582.4414, 2693.6299, .11083762E-01, .23029454E-01, 9.3999777, -.15356988E-03
203.18221, 6399.0669, 228.73480, 472.60843, 341.19852, 1204.3124, 227.43924, 4582.4668, 2693.6396, .10930194E-01, .22710430E-01, 9.3999748, -.15243521E-03
