4.1496048, -13.305230, -17.454836
4.2228308, -.33306670, -4.5558972
4.5952797, .23818070, -4.3570995
4.3254404, .24159497, -4.0838451
3.5548446, -.43927703E-01, -3.5987720
3.0585921, -.38345560, -3.4420474
3.3637736, .24791744, -3.1158555
2.9193900, -1.7798604, -4.6992502
2.5010865, -.84576529, -3.3468516
3.4424365, .29974422, -3.1426921
3.8259408, .14535852, -3.6805830
3.6840215, -.53699112, -4.2210126
3.8374860, .10401148, -3.7334743
4.1193242, .28578514, -3.8335388
4.1738472, .28455943, -3.8892879
4.2749710, .26847160, -4.0064993
4.3144207, .26350915, -4.0509119
4.4426184, .26843813, -4.1741791
4.2911558, .28149992, -4.0096564
4.2424817, .30130166, -3.9411793
4.5153790, .26610982, -4.2492685
4.4993224, .26290697, -4.2364144
3.8217256, .27260271, -3.5491228
4.4563956, .29420513, -4.1621909
4.1337423, .30465043, -3.8290923
3.4034543, .29158995, -3.1118646
3.9763947, .31904382, -3.6573513
3.3196919, .34050822, -2.9791830
2.2339032, .20751354, -2.0263898
1.7254152, .20245065, -1.5229646
2.7629590, .28401059, -2.4789488
3.2160945, .29752883, -2.9185660
2.9868078, .34949988, -2.6373076
3.6295733, .31167313, -3.3179004
3.4122801, .29786587, -3.1144135
3.1247842, .26640859, -2.8583755
3.6284122, .28165641, -3.3467557
3.6494899, .30580080, -3.3436892
4.2073684, .30792782, -3.8994408
4.0483665, .30368558, -3.7446809
4.4902949, .26366201, -4.2266326
4.0962687, .29406932, -3.8021991
4.3738170, .24730054, -4.1265173
4.6111436, .27677321, -4.3343701
4.5996132, .27792105, -4.3216920
4.8183327, .31150922, -4.5068235
4.9079437, .28492031, -4.6230235
4.5811429, .32860312, -4.2525401
4.2562451, .31619221, -3.9400535
4.4633970, .25173575, -4.2116604
4.5161924, .30864400, -4.2075486
4.1326790, .33982265, -3.7928562
2.9962127, .35737890, -2.6388340
4.1065092, .34250489, -3.7640042
4.5154195, .33727524, -4.1781445
4.7504172, .15793425, -4.5924830
4.6786199, .15220842, -4.5264111
4.6896253, .15743665, -4.5321884
4.6072145, .16017011, -4.4470448
4.7920160, .18840842, -4.6036081
4.9319453, .18075217, -4.7511926
4.4913406, .25913164, -4.2322087
4.2124224, .24710079, -3.9653213
4.4520183, .29838938, -4.1536293
4.3991323, .32774103, -4.0713916
4.6559000, .34529015, -4.3106089
3.2658777, .32518619, -2.9406917
4.5764604, .20745024, -4.3690100
4.9748268, .15057690, -4.8242497
5.1053705, .13489799, -4.9704723
5.2014089, .14191334, -5.0594950
5.2541628, .15138745, -5.1027751
5.0980616, .19361061, -4.9044514
4.4469008, .17448241, -4.2724185
4.9093766, .17026490, -4.7391114
4.8599319, .21831852, -4.6416144
4.9517822, .20622648, -4.7455554
4.5195761, .16879703, -4.3507800
5.0953627, -42.451313, -47.546680
4.9402733, -1.4591547, -6.3994279
5.2903352, -.26039094E-01, -5.3163743
5.3605170, -.17539144E-01, -5.3780556
5.3526201, .35886876E-01, -5.3167329
4.9907212, .57609528E-01, -4.9331121
5.1668553, -90.940636, -96.107475
5.4560747, -177.97313, -183.42921
5.2469416, -184.81346, -190.06038
5.3154931, -162.54294, -167.85843
5.2908525, -205.76730, -211.05814
5.0960374, -226.81213, -231.90817
4.9311481, -207.28671, -212.21783
4.7466216, -222.25334, -226.99997
4.7052903, -227.78268, -232.48798
4.6954412, -269.73770, -274.43314
4.7005901, -216.38341, -221.08403
4.9670253, -91.800957, -96.767982
5.1170492, -86.096718, -91.213768
5.6364884, -190.74472, -196.38123
5.5229354, -166.71899, -172.24191
4.9923167, -191.72713, -196.71944
5.4121971, -159.45932, -164.87152
5.1193671, -190.58792, -195.70729
4.7698312, -228.90729, -233.67711
4.6839375, -187.64133, -192.32526
4.8191686, -124.21571, -129.03488
4.3940749, -208.94743, -213.34151
5.8137884, -383.33914, -389.15295
5.8504314, -397.30344, -403.15384
5.8678842, -371.62424, -377.49213
5.7479143, -351.73770, -357.48563
5.5840988, -385.50238, -391.08646
5.8810520, -435.67404, -441.55508
5.5852265, -421.45840, -427.04364
5.3776059, -512.62988, -518.00745
5.7124405, -468.81796, -474.53043
4.0894203, -448.76523, -452.85464
5.1787453, -505.41705, -510.59583
5.7347350, -571.92102, -577.65576
5.7968116, -631.24261, -637.03943
5.2442131, -781.66736, -786.91150
5.7972131, -891.03461, -896.83179
5.4627485, -952.71765, -958.18036
5.2887077, -1072.4816, -1077.7704
4.3161345, -674.27869, -678.59485
5.6576705, -1013.0919, -1018.7496
5.8901596, -1166.5396, -1172.4297
5.1292129, -1246.0649, -1251.1942
6.1642480, -871.41418, -877.57837
4.6524734, -803.68152, -808.33398
4.3883080, -768.18103, -772.56927
5.6714268, -831.05048, -836.72198
5.6643276, -1122.3462, -1128.0104
6.0104690, -1128.7509, -1134.7614
5.4368792, -1437.7496, -1443.1866
5.5098090, -1453.5919, -1459.1019
5.6136909, -1269.9960, -1275.6097
5.3482137, -1149.3203, -1154.6687
4.9359498, -1311.0776, -1316.0135
4.9983177, -1387.7583, -1392.7566
5.2933693, -1061.4707, -1066.7640
4.7245736, -1016.2913, -1021.0158
4.5768681, -934.08405, -938.66095
4.3436518, -814.04626, -818.38995
4.5197263, -886.20020, -890.71991
4.2117519, -815.55719, -819.76886
4.1973281, -658.52124, -662.71863
4.3106503, -959.78351, -964.09406
5.3486428, -1771.6974, -1777.0460
4.9369230, -1978.4967, -1983.4335
4.8962946, -2016.5089, -2021.4053
4.7810254, -1736.4347, -1741.2155
4.6415730, -1409.1508, -1413.7924
4.6333566, -1792.9041, -1797.5376
5.3105183, -2755.4329, -2760.7437
5.6932564, -1994.5835, -2000.2770
5.1173182, -1828.0975, -1833.2147
4.9682336, -1625.7925, -1630.7607
4.6251755, -1563.5476, -1568.1727
5.7983904, -1683.7413, -1689.5397
5.5522771, -2357.3835, -2362.9358
5.3667078, -3144.6326, -3149.9993
5.2426486, -3163.4060, -3168.6487
4.6507025, -1907.8334, -1912.4840
4.9105558, -1755.7378, -1760.6483
5.8384976, -2558.7947, -2564.6333
6.0059981, -2066.8027, -2072.8086
5.6689916, -2117.9138, -2123.5828
5.3123112, -2537.3267, -2542.6389
5.3272052, -2263.4927, -2268.8201
5.1054235, -2115.3547, -2120.4602
5.0324016, -1955.5530, -1960.5852
5.9654107, -1166.5824, -1172.5477
5.5653114, -1373.6279, -1379.1932
6.0682445, -2109.7329, -2115.8010
5.1599622, -3312.7690, -3317.9290
