0.34358376, 1.0000000, 0.95501357, 9.3264685, 9.7234440, 9.8501167, 9.9543667, 9.9766760, 9.9903173, 19.998051, 19.999487, 19.999645, 19.976204, 0.34318066, 0.34719086, 0.34847897, 0.34953290, 0.34976131, 0.34990039, 0.34998977, 0.34999731, 0.34999821, 0.34988102, 0.95501357
0.31702653, 1.0000000, 0.85879171, 7.6199327, 9.4472466, 9.6668806, 9.8499022, 9.9195929, 9.9624119, 19.989275, 19.997198, 19.997547, 19.953602, 0.32619473, 0.34446907, 0.34666708, 0.34849867, 0.34919575, 0.34962407, 0.34994638, 0.34998599, 0.34998775, 0.34976801, 0.85879171
0.28821063, 1.0000000, 0.75438637, 5.5972180, 9.3808908, 9.6004572, 9.7779608, 9.8727999, 9.9363289, 19.979401, 19.994556, 19.993031, 19.933344, 0.30596998, 0.34380668, 0.34600344, 0.34777936, 0.34872788, 0.34936327, 0.34989700, 0.34997278, 0.34996516, 0.34966671, 0.75438637
0.25038978, 1.0000000, 0.61735427, 2.9953063, 9.2573509, 9.5332041, 9.7170010, 9.8275261, 9.9086304, 19.966785, 19.990988, 19.985422, 19.916035, 0.27967307, 0.34242433, 0.34525588, 0.34713253, 0.34825611, 0.34907666, 0.34983221, 0.34995449, 0.34992701, 0.34958014, 0.61735427
0.22561578, 1.0000000, 0.52759343, 2.1378279, 7.6562223, 9.5037365, 9.6837273, 9.7988911, 9.8888435, 19.954819, 19.987072, 19.975002, 19.901854, 0.27134809, 0.32654080, 0.34502557, 0.34683275, 0.34798661, 0.34888732, 0.34977391, 0.34993532, 0.34987500, 0.34950927, 0.52759343
0.19555321, 1.0000000, 0.41867101, 0.94743967, 6.0919313, 9.4836731, 9.6658659, 9.7827787, 9.8763590, 19.943975, 19.982607, 19.962294, 19.890665, 0.25914523, 0.31074464, 0.34474555, 0.34661397, 0.34780499, 0.34875208, 0.34971783, 0.34991249, 0.34981132, 0.34945330, 0.41867101
0.17682654, 1.0000000, 0.35082081, 0.19582212, 5.0018101, 9.5509977, 9.6962681, 9.7970505, 9.8803577, 19.938519, 19.978298, 19.948547, 19.882132, 0.25181639, 0.29994017, 0.34546766, 0.34694281, 0.34796035, 0.34879851, 0.34969169, 0.34989125, 0.34974268, 0.34941062, 0.35082081
0.16665833, 1.0000000, 0.31397942, 0.0000000, 4.0789127, 9.5635061, 9.7049198, 9.8026352, 9.8816481, 19.933414, 19.972490, 19.934406, 19.875731, 0.24999985, 0.29063475, 0.34555414, 0.34700909, 0.34800589, 0.34880611, 0.34966519, 0.34986198, 0.34967190, 0.34937862, 0.31397942
0.15501407, 0.90587622, 0.27179006, 0.0000000, 2.8388410, 9.2412968, 9.6545038, 9.7725105, 9.8646193, 19.921700, 19.963007, 19.920301, 19.870871, 0.24999985, 0.27824757, 0.34233806, 0.34650818, 0.34770629, 0.34863669, 0.34960678, 0.34981459, 0.34960139, 0.34935433, 0.27179006
0.14439304, 0.77761596, 0.23330812, 0.0000000, 2.0120025, 8.3574791, 9.6219492, 9.7502022, 9.8506937, 19.910013, 19.951584, 19.907408, 19.867289, 0.24999985, 0.26990765, 0.33346033, 0.34616333, 0.34747338, 0.34849247, 0.34954751, 0.34975725, 0.34953687, 0.34933639, 0.23330812
0.13643982, 0.68157208, 0.20449208, 0.0000000, 1.4126927, 7.6538849, 9.6415720, 9.7590189, 9.8523922, 19.903137, 19.939926, 19.896448, 19.864754, 0.24999985, 0.26382324, 0.32637617, 0.34633517, 0.34754911, 0.34850317, 0.34951198, 0.34969866, 0.34948200, 0.34932372, 0.20449208
0.12504609, 0.54398042, 0.16321045, 0.0000000, 0.54222047, 6.6162715, 9.5917530, 9.7281656, 9.8354664, 19.890745, 19.926041, 19.886909, 19.862831, 0.24999985, 0.25527287, 0.31608149, 0.34587732, 0.34726116, 0.34834436, 0.34945190, 0.34962973, 0.34943444, 0.34931412, 0.16321045
0.11672284, 0.44346818, 0.13305376, 0.0000000, 0.0000000, 5.6561618, 9.5999355, 9.7304192, 9.8361187, 19.885363, 19.914007, 19.879601, 19.861549, 0.24999985, 0.25000000, 0.30650124, 0.34596953, 0.34728897, 0.34835359, 0.34942549, 0.34956968, 0.34939793, 0.34930772, 0.13305376
0.11424953, 0.41360030, 0.12409250, 0.0000000, 0.0000000, 5.0424051, 9.6606302, 9.7660522, 9.8536835, 19.886219, 19.904434, 19.874285, 19.860773, 0.24999985, 0.25000000, 0.30036417, 0.34657657, 0.34764534, 0.34852931, 0.34942979, 0.34952185, 0.34937134, 0.34930384, 0.12409250
0.11133658, 0.37842327, 0.11353834, 0.0000000, 0.0000000, 4.3353362, 9.6479750, 9.7613792, 9.8528128, 19.882832, 19.894983, 19.870029, 19.860167, 0.24999985, 0.25000000, 0.29335091, 0.34647864, 0.34761322, 0.34852794, 0.34941417, 0.34947491, 0.34935015, 0.34930083, 0.11353834
0.10863005, 0.34573895, 0.10373206, 0.0000000, 0.0000000, 3.6811867, 9.6493835, 9.7626085, 9.8534298, 19.879213, 19.886854, 19.866833, 19.859739, 0.24999985, 0.25000000, 0.28680921, 0.34649244, 0.34762537, 0.34853405, 0.34939605, 0.34943426, 0.34933418, 0.34929869, 0.10373206
0.10544188, 0.30723828, 0.92180707E-1, 0.0000000, 0.0000000, 2.9524179, 9.4614067, 9.7307491, 9.8338194, 19.865515, 19.877436, 19.863798, 19.859287, 0.24999985, 0.25000000, 0.27952257, 0.34461302, 0.34730697, 0.34833801, 0.34932756, 0.34938717, 0.34931898, 0.34929645, 0.92180707E-1
0.10257506, 0.27261835, 0.81793688E-1, 0.0000000, 0.0000000, 2.3881614, 8.9385986, 9.6982031, 9.8135757, 19.850687, 19.868933, 19.861319, 19.858912, 0.24999985, 0.25000000, 0.27370620, 0.33929485, 0.34693536, 0.34811246, 0.34924936, 0.34934360, 0.34930632, 0.34929448, 0.81793688E-1
0.10062560, 0.24907650, 0.74730426E-1, 0.0000000, 0.0000000, 1.9910157, 8.4681358, 9.7044039, 9.8151302, 19.845539, 19.864014, 19.859941, 19.858757, 0.24999985, 0.25000000, 0.26990831, 0.33467978, 0.34704316, 0.34815100, 0.34922770, 0.34932005, 0.34929970, 0.34929377, 0.74730426E-1
0.99536911E-1, 0.23592943, 0.70785910E-1, 0.0000000, 0.0000000, 1.7900795, 8.1470137, 9.7416220, 9.8317738, 19.845993, 19.861517, 19.859289, 19.858709, 0.24999985, 0.25000000, 0.26788083, 0.33145818, 0.34740978, 0.34831488, 0.34922957, 0.34930751, 0.34929642, 0.34929353, 0.70785910E-1
0.98493263E-1, 0.22332628, 0.67004584E-1, 0.0000000, 0.0000000, 1.5912950, 7.8628840, 9.7555838, 9.8381262, 19.844982, 19.859400, 19.858772, 19.858692, 0.24998559, 0.25000000, 0.26590982, 0.32862577, 0.34755394, 0.34838060, 0.34922493, 0.34929699, 0.34929386, 0.34929347, 0.67004584E-1
0.10338156, 0.28235781, 0.84715813E-1, 0.40920675, 0.0000000, 1.4528036, 7.6304870, 9.7723598, 9.8461704, 19.845732, 19.858280, 19.858519, 19.858709, 0.25409070, 0.25000000, 0.26452658, 0.32630333, 0.34772262, 0.34846136, 0.34922865, 0.34929138, 0.34929258, 0.34929353, 0.84715813E-1
0.96063249E-1, 0.19398123, 0.58200188E-1, 0.0000000, 0.0000000, 1.1296868, 7.2479482, 9.7317600, 9.8276405, 19.839891, 19.855804, 19.857929, 19.858604, 0.24995756, 0.25000000, 0.26129666, 0.32247922, 0.34731743, 0.34827635, 0.34919947, 0.34927902, 0.34928966, 0.34929302, 0.58200188E-1
