sample_id,treatment,gpp_sum,npp_sum,lai_mean,reco_sum,rauto_sum,rhetero_sum,npp_leaf_sum,npp_wood_sum,npp_root_sum,npp_repro_sum,litterfall_c_sum,leaf_c_end,wood_c_end,root_c_end,plant_c_end,soil_c_end,nsc_end,p_demand_sum,p_uptake_sum,p_retrans_sum,leaf_p_end,root_p_end,plant_p_end,leaf_cp_end,root_cp_end,p_net_sum,fptase_sum,p_loss_sum,labile_p_end,sorbed_p_end,strongly_sorbed_p_end,occluded_p_end,microbial_p_end,organic_p_end,total_inorganic_p_end
t008_s020,P100,960.5509644,2.878746271,0.3892504573,2027.837891,265.0587463,1762.787598,1.421571255,0.1912320107,1.249955297,0.01598774642,35.64489746,11.76605415,1.052208424,0.04135327786,13.2272377,21402.03516,23.31916046,821.8892822,0.04219548777,0.02565845475,0.01465261914,3.498585647e-05,0.01540863328,803.000061,1181.999878,5.384663105,0.007195977494,0.001516188844,5.503892899,28.98572159,18.07699394,131.9303284,1.960154653,113.517395,184.4969482
t008_s021,P0,956.3637085,1.968629718,0.3874728084,717.0462646,98.0563736,618.9899902,1.070047617,0.1457642168,0.7331697345,0.01964750513,34.99787903,11.56898022,1.001000047,0.02528729662,12.96289062,22547.03125,5.988543987,1307.387695,3.00046031e-05,0.02529803663,0.01440719701,2.139365279e-05,0.01513937674,803.000061,1182.0,-0.1465771794,0.007182501722,2.325770794e-07,0.02253151499,0.1693847328,18.03487396,131.9374695,6.856354713,119.0448303,150.1642609
t008_s021,P25,963.4267578,4.006518364,0.3905206621,2304.28833,294.3861084,2009.892578,1.816710591,0.2455441803,1.928628087,0.01563300379,36.1451149,12.05115891,1.104644537,0.3297717869,13.85319805,21157.15625,15.54473495,867.1384888,0.04219644889,0.02593509108,0.01500766911,0.0002789947321,0.01601818018,803.000061,1182.0,6.727444649,0.007195174228,0.0005642463802,1.911247969,12.52348423,18.04909515,131.9374847,0.8908203244,112.1816864,164.4213104
t008_s021,P50,1127.421875,136.0186768,0.4755183756,2378.231445,354.6737976,2023.549805,43.16547775,23.48862076,63.65884781,5.705774784,100.7390823,48.82441711,12.59041309,19.48916245,81.27161407,21208.09766,38.95127106,733.1873779,0.1520592421,0.06007251516,0.0608025156,0.01648829319,0.08031947911,802.999939,1182.0,6.678844929,0.007195180282,0.0009013854433,3.0408988,18.50460625,18.05559158,131.9375458,0.9456834793,112.2538147,171.5386353
t008_s021,P100,1446.284546,368.9801941,0.6754475832,2521.410156,449.3161316,2072.09082,112.6692047,64.53756714,180.1075897,11.66599274,229.601944,102.0283813,45.7090683,37.26638412,185.3714752,21288.53125,63.3037796,638.6065674,0.3202583194,0.1286621243,0.1270589978,0.03152824193,0.1682396382,803.000061,1182.000122,6.55112648,0.007195275277,0.001632587053,5.69196701,29.67132568,18.06595039,131.9375305,1.088967323,112.4289246,185.3667755
t008_s022,P0,1329.550049,2.624820948,0.3895610869,757.0321655,157.6044312,599.4272461,1.338828206,0.1644378155,1.114276171,0.007275071461,35.55305481,11.70266724,1.062634587,0.03626221046,13.16918659,22567.22266,7.704696178,1316.344238,3.242432285e-05,0.02561751008,0.01457368303,3.067868965e-05,0.01532747597,803.0,1182.0,-0.1726260334,0.007182471454,2.28028739e-07,0.01946813986,0.1463902295,18.0353775,131.9372101,6.865891933,119.0711517,150.138443
t008_s022,P25,1399.094238,55.2353096,0.4187393486,2391.468994,382.6760864,2008.790649,18.7634201,6.560559273,28.6387291,1.272616744,58.64058685,27.40468597,4.513520718,10.40604973,42.69187927,21180.86719,28.49559212,828.8519897,0.08586258441,0.03780103475,0.03412787989,0.008803764358,0.04434493929,802.999939,1182.0,6.699776173,0.007195273414,0.0005576813128,1.900619268,12.46284294,18.04949951,131.9372406,0.9139499664,112.2178268,164.3502045
t008_s022,P50,1994.524902,466.9907227,0.709769547,2609.889648,544.6313477,2065.261475,143.1058655,81.4640274,231.9347076,10.48630142,264.3008728,129.7594757,64.46826172,54.19255447,248.7879181,21330.17188,88.25836182,694.7497559,0.3892379701,0.1467176974,0.1615933627,0.04584818333,0.2208457738,803.000061,1182.0,6.507597446,0.007195355836,0.0008780205972,2.972173929,18.16520691,18.05576706,131.9372559,1.126587033,112.4849243,171.1304016
t008_s022,P100,2482.981201,817.7783203,1.017053604,2849.412109,696.1416626,2153.27124,236.5242462,137.1561279,405.2573547,38.8406105,477.2417297,165.9052277,124.0062408,67.41426849,386.6340637,21455.17969,90.84529114,608.1262207,0.6230812073,0.2651764154,0.2066067606,0.05703406781,0.3291480839,803.0,1182.0,6.311467648,0.007195591461,0.001590993721,5.574935436,29.24634933,18.06616783,131.9372406,1.348574877,112.765274,184.8246918
t008_s023,P0,1329.550049,2.624820948,0.3895610869,757.0341797,157.6044769,599.4293213,1.338828206,0.1644378155,1.114276171,0.007275070529,35.55305481,11.70266724,1.062634587,0.03626221791,13.16918659,22567.22266,7.70482254,1316.344238,3.242467574e-05,0.02561751008,0.01457368303,3.067869693e-05,0.01532747597,803.0,1182.0,-0.1726238579,0.007182471454,3.305415319e-08,0.01946839876,0.1463921815,18.0353775,131.9372101,6.865891933,119.0711517,150.138443
