parameter_id,parameter_name_cn,primary_process,evaluated_process,case,metric,mu,mu_star,sigma,n_effects
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P100,labile_p_end,-0.0010858783500000378,0.11391087265000018,0.2079228449584494,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳获取与呼吸,P100,lai_mean,0.7100739352558333,0.7322020404558333,1.160864231191141,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,leaf_c_end,41.660497130375674,46.91207970798267,73.31157924276975,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P100,leaf_cp_end,2.0333333319892215e-05,6.099999995967664e-05,8.474005654641011e-05,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P100,leaf_p_end,0.051881066481921666,0.058421019435026665,0.09129711335247148,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,litterfall_c_sum,63.92282619425002,129.48279043158334,214.1730633927344,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P100,microbial_p_end,-0.009376366291666709,0.06825663562500008,0.12530535917037755,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,npp_leaf_sum,147.9126644246417,153.82159055325835,200.5398651155566,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,npp_repro_sum,39.65157583591418,40.54477766543135,69.89954245508083,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,npp_root_sum,-58.93483479923337,106.42189536589999,174.423807133564,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳获取与呼吸,P100,npp_sum,186.4353770075,262.2633930495,415.395810499945,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,npp_wood_sum,57.80553543889168,67.75560994234169,109.17032798290852,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,nsc_end,0.36882869750000047,12.320637617499997,21.73412534953462,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P100,occluded_p_end,-5.075000001871407e-06,7.625000002065008e-06,2.1176608736387332e-05,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P100,organic_p_end,-0.057726525000000826,0.1912193083333366,0.37198852245630976,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P100,p_demand_sum,30.394024446583323,30.394024446583323,36.44112643175058,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P100,p_loss_sum,0.0001081328675566667,0.00011349016155999996,0.0002335048839858719,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P100,p_net_sum,0.11877595866666654,0.16147324899999999,0.3932668655118867,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P100,p_retrans_sum,0.04153679743158334,0.06522252196841667,0.10541739926295934,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P100,p_uptake_sum,0.16249979969022493,0.20483773082310827,0.29429611667105643,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,plant_c_end,121.96408090100002,139.51563543050003,225.87115547306118,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P100,plant_p_end,0.09804924245383334,0.10949054408295,0.17416159320300015,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳获取与呼吸,P100,rauto_sum,18.225527581500014,77.66239699816666,156.50545817808484,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳获取与呼吸,P100,reco_sum,76.1912864916666,118.33402222499993,216.34969143418442,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,rhetero_sum,57.96396907499998,72.95113630833342,134.7315965356697,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,root_c_end,-8.721886885868724,19.417963597535397,34.82484264612127,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P100,root_cp_end,0.0,8.133333327956886e-05,0.00013194008909913604,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P100,root_p_end,-0.00737892563340006,0.016428059973400057,0.029462647304772233,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,soil_c_end,5.799479166667273,79.04394583333246,143.84452075642022,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P100,sorbed_p_end,-0.042938392250000554,0.0907852659166668,0.16772697504316303,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P100,strongly_sorbed_p_end,0.00144497416666578,0.0023061424999998676,0.004900663965632588,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P100,total_inorganic_p_end,-0.0425809166666653,0.20465725000000154,0.3470354232648112,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P100,wood_c_end,58.96209171224167,67.44991129407501,109.51714570547036,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P25,fptase_sum,-3.5355147666668826e-05,4.120191066666523e-05,0.00012570202549456582,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳获取与呼吸,P25,gpp_sum,297.1328535591666,345.07108589250004,564.0535412189789,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P25,labile_p_end,-0.0030951718666666793,0.11114853413333321,0.20159283578202486,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳获取与呼吸,P25,lai_mean,0.6575310184916665,0.6797511035416666,1.1585897380362162,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,leaf_c_end,35.7846908992045,41.03742316421367,71.83964631730788,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P25,leaf_cp_end,5.0833333299730556e-06,6.60833332896497e-05,9.018252278655927e-05,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P25,leaf_p_end,0.044563748622320834,0.05110513299894417,0.08946406937607895,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,litterfall_c_sum,63.424501352833275,125.93890459266663,209.4424933956035,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P25,microbial_p_end,-0.00834490380833344,0.057083671475000194,0.11461787957727854,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,npp_leaf_sum,138.75239999294166,144.66641187924165,201.11126648882274,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,npp_repro_sum,38.3314484038585,39.15527395907517,70.45648943265306,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,npp_root_sum,-54.620792972158334,99.501886388825,171.30643523081142,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳获取与呼吸,P25,npp_sum,176.79276703849996,249.0214486075,410.08513639076153,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,npp_wood_sum,54.32911344955833,64.487202050425,108.01648557052005,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,nsc_end,-0.4036427383333323,10.662067968333334,20.617060297111916,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P25,occluded_p_end,-5.083333334710005e-06,7.633333334903607e-06,2.1206069145679813e-05,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P25,organic_p_end,-0.04867934999999927,0.17314910000000222,0.3673738966755792,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P25,p_demand_sum,32.19593453783331,32.19593453783331,39.48703820103877,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P25,p_loss_sum,2.7740703796666645e-05,3.2137283086666624e-05,6.917757601979567e-05,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P25,p_net_sum,0.10852509766666643,0.14417052283333334,0.3904684744256358,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P25,p_retrans_sum,0.04074832751925001,0.06246016249808335,0.10207673768113348,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P25,p_uptake_sum,0.1541198476637333,0.19279448816959996,0.29330658248114727,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,plant_c_end,112.82069659158336,129.82696770908336,223.48690778895286,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P25,plant_p_end,0.08970940420292499,0.10034874553429166,0.1718411112091346,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳获取与呼吸,P25,rauto_sum,20.41978747566665,71.61440827566666,149.88625520492926,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳获取与呼吸,P25,reco_sum,74.85648323333339,116.37902061666664,209.29015265342056,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,rhetero_sum,54.434290575,67.46685794166672,133.99489930238806,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,root_c_end,-7.512530492948248,17.53112585128158,33.65966710700218,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P25,root_cp_end,4.0666666639784424e-05,8.133333327956885e-05,0.0001414899826072897,20
s_alloc_el,叶片分配权重,碳分配与库周转,植物磷需求与获取,P25,root_p_end,-0.006355788883887848,0.014831746945554516,0.028476866290074284,20
s_alloc_el,叶片分配权重,碳分配与库周转,碳分配与库周转,P25,soil_c_end,8.830404166666693,76.18033749999964,140.34317373154556,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P25,sorbed_p_end,-0.041571765750000336,0.09126487441666652,0.16935849692662044,20
s_alloc_el,叶片分配权重,碳分配与库周转,土壤磷动态,P25,strongly_sorbed_p_end,0.00031995666666606587,0.000593028333333893,0.0018964738369236954,20
