treatment,elapsed_seconds,gpp_sum,npp_sum,lai_mean,reco_sum,rauto_sum,rhetero_sum,npp_leaf_sum,npp_wood_sum,npp_root_sum,npp_repro_sum,litterfall_c_sum,leaf_c_end,wood_c_end,root_c_end,plant_c_end,soil_c_end,nsc_end,p_demand_sum,p_uptake_sum,p_retrans_sum,leaf_p_end,root_p_end,plant_p_end,leaf_cp_end,root_cp_end,p_net_sum,fptase_sum,p_loss_sum,labile_p_end,sorbed_p_end,strongly_sorbed_p_end,occluded_p_end,microbial_p_end,organic_p_end,total_inorganic_p_end
P0,0.1471421718597412,2527.910889,793.6137085,1.040884256,2498.355225,689.611084,1808.748169,178.8584595,136.4732208,449.133667,29.14855766,461.6634521,113.3626938,127.2136078,111.5135651,373.3092041,21156.59375,95.20565033,452.3091125,0.5787344575,0.2357227802,0.1411739588,0.09434311092,0.2904311419,803.000061,1182.000122,4.919116497,0.04403414205,0.0002472618653,1.829408288,3.696088552,18.09098434,131.9299927,2.932393074,113.1878204,155.5464783
P25,0.1500532627105713,3536.97876,1554.795898,1.924016356,2931.902344,967.3233032,1964.59021,321.3869324,293.4448547,832.4230957,107.5411682,958.3883667,128.7882538,282.3590698,135.9810028,637.758606,21497.45703,90.6015625,354.1626892,1.045377731,0.4891897738,0.1603838801,0.1150431558,0.4577741921,803.0,1181.999878,4.575603962,0.04404005781,0.0005366145633,4.120429039,8.044827461,18.10729027,131.9299927,3.320822954,113.752388,162.2025452
P50,0.1482393741607666,3670.579102,1684.514526,2.01313591,2986.658691,986.5870361,2000.074341,344.3990479,317.3715515,894.3704834,128.3744812,1049.620361,129.0108032,304.7722168,136.407959,676.2525635,21553.18359,90.20565796,307.8856812,1.126470685,0.5339387655,0.1606610119,0.1154043674,0.4843276143,803.000061,1182.0,4.479985237,0.0440428555,0.0008474166389,6.726933956,12.64980793,18.1282959,131.9299927,3.41954875,113.8920898,169.4350281
P100,0.14823102951049805,3890.654053,1885.950562,2.173505306,3099.835693,1039.808105,2060.030762,380.4440613,353.3921204,996.3563232,155.7577362,1193.900757,128.9685211,341.125,137.081604,733.4017334,21637.50781,89.66944122,272.7909851,1.248996258,0.6050456762,0.160608381,0.1159742847,0.5201224089,802.999939,1182.0,4.330939293,0.04404754937,0.001497752964,12.28664684,21.42084122,18.1639576,131.9299927,3.57418561,114.1092606,183.8014374
