2.0537224, 28.466576, .67678368, 688.98285, .51465476, 2.5894327, .94354624, 14.508283, .13891706, 44.042530, 1555.4857
2.0579262, 29.071095, 2.8483870, 597.85309, .75468969, 2.6395311, 1.3511242, 8.7893181, .10915008, 44.022568, 1318.5938
2.0439863, 24.703783, 2.4460850, 712.29169, 1.5952554, 4.2638354, 1.1601208, 5.1781301, .78685600, 96.883217, 820.44971
1.8509005, 23.930458, 2.0022390, 390.33514, 1.0579346, 2.6190410, 1.2066784, 15.799232, .63208163, 11.345758, 1227.9167
2.3192811, 28.796886, 2.7880437, 396.33609, .90609413, .55960923, .52526993, 12.446647, .61892980, 54.062672, 1212.7292
2.7824440, 23.128000, .87433761, 138.57164, .35292000, 1.6827232, 1.4238851, 13.505656, .73848027, 41.801098, 619.98950
2.7330546, 27.387733, .42450890, 236.62498, .92398322, 2.3661833, 1.9474857, 19.425259, .75022966, 57.311993, 946.42346
2.7884867, 24.966846, 3.6903050, 608.40045, 1.6377938, .44689703, 1.2945881, 14.948907, .56883323, 49.417957, 1484.2272
2.9316740, 23.366711, 6.0592499, 488.71741, .87906921, 2.2339201, 1.3065801, 5.3196859, .45503384, 69.983879, 1745.8019
2.2851558, 19.306158, 6.6297102, 448.36932, 1.0995207, 3.5514641, 1.4601775, 12.119952, .12266554, 51.362366, 1885.0541
2.5654302, 21.520838, 2.8637881, 316.80914, 1.1316226, 2.1353350, 1.8931698, 12.614402, .60024124, 40.011990, 1896.3602
1.9286104, 18.923517, 5.6140966, 558.38696, 1.2341366, 1.1422222, 1.3422961, 16.048145, .52313232, 107.41437, 1759.7988
2.5602572, 26.590149, 4.8597131, 470.60706, 1.6214436, 1.8464699, 1.5442811, 5.5403609, .16535644, 43.795193, 1144.5669
2.5760615, 26.313593, 4.5526347, 325.69601, 1.7618381, 1.3603407, 1.0662764, 4.4892712, .22257045, 23.429283, 607.21082
2.4227617, 28.780937, 3.0951838, 599.17352, .71663332, 1.5761883, 1.6416177, 11.900029, .39379314, 141.01224, 993.58636
2.3856988, 26.635530, 4.2111359, 430.69110, .58863348, 2.0456445, 1.6011200, 5.6049933, .29443029, 113.33561, 1557.8428
2.4581938, 24.526638, 3.0562475, 69.271729, .56495297, 1.6093867, 1.1232630, 8.6275597, .87256122, 34.595112, 1560.2172
1.1363605, 24.664770, 3.9299734, 406.58096, .65046036, 2.5228415, 1.7703049, 2.7418587, .31872889, 150.94930, 1714.9457
1.8501725, 22.513857, 4.7107983, 503.12790, .90165061, 2.8362255, 1.6669614, 4.6323652, .24824515, 99.276634, 1088.4951
1.8380768, 23.501255, 2.9192863, 186.55789, .40710139, 2.5769539, 1.5660570, 2.0438292, .29935363, 67.969620, 1307.2739
1.9640186, 21.310116, 1.4256872, 175.21977, .80903184, 1.4483554, 1.1090213, 1.9786377, .66288346, 40.725220, 542.39337
1.9101338, 20.800077, 4.5725727, 227.87035, .75698960, 1.2097807, 1.0589359, 7.1133447, .70932013, 87.039368, 1190.6885
2.2127039, 18.466711, 3.3165703, 157.32484, .36990899, 4.0507765, .66622800, 9.2172794, .12397883, 184.28812, 1102.4600
1.9396906, 27.457104, 6.3916202, 727.30963, .81867576, 3.5716248, 1.0928183, 4.7423058, .89557940, 129.95853, 1393.0894
1.1497675, 26.271538, 4.7896800, 604.60754, .49132800, 2.3023319, 1.7615957, 7.2166066, .63847077, 120.06871, 1872.9550
1.2192776, 28.653296, 7.4073887, 618.28455, .27541202, 2.6052139, 1.6784406, 1.4371982, .67963976, 116.08467, 1769.6313
2.1661057, 26.638058, 7.4043527, 749.09277, .25381637, .99714905, 1.9208479, 2.7124701, .55883211, 125.40086, 1223.3463
2.1065984, 23.667912, 8.6726561, 670.35602, .85527301, 1.4079138, 1.8663731, 8.8263035, .43575391, 197.17278, 723.14172
1.9125091, 27.559441, 8.5824890, 512.83295, .95400202, 2.6496279, 1.7310450, 4.1695790, .44140416, 196.36826, 1063.3900
2.0000029, 28.657928, 8.4498930, 458.14029, 1.5448519, 3.6170962, 1.5587907, 3.7246926, .70294911, 97.494919, 1567.7073
2.7276616, 28.273041, 7.7279959, 726.28583, 1.4075899, 3.5962100, 1.1962299, 5.8411245, .54943848, 94.569603, 1968.7106
2.3053246, 22.749750, 7.6398597, 629.48407, 1.4251674, 2.9310834, 1.1846142, 13.253346, .62839615, 182.79071, 526.38379
2.3022821, 23.337406, 7.8409142, 702.62427, 1.5149863, 2.2244492, 1.4606922, 12.497990, .92902899, 140.19717, 506.11902
2.4691644, 24.984829, 8.6752434, 544.83984, 1.3548037, 2.9307675, 1.2737387, 10.204864, .90788102, 75.828064, 510.81689
2.4747624, 21.135544, 6.8074083, 230.57567, 1.2675190, 2.9154172, .86860788, 1.2223721, .77474725, 23.638565, 433.78082
2.1109452, 20.884764, 8.1831188, 106.66033, 1.5240513, 3.0679495, .85533857, 1.1907873, .61767709, 25.795980, 473.71600
1.4379874, 23.428053, 3.3381886, 435.79370, .65890139, 2.8068085, 1.1977209, 8.9866543, .50903821, 116.35714, 1858.9594
1.8952869, 23.922684, 3.8611333, 112.68861, .30748123, 3.7194643, .95011377, 11.626709, .29486331, 18.666391, 1328.1907
1.8926873, 21.881815, 5.6267452, 89.659904, 1.0048978, 3.8084948, 1.1100652, 6.3308425, .21618652, 78.000717, 1008.8805
2.5230303, 23.418722, 4.1401477, 56.677467, 1.3179387, 4.9871397, 1.3835794, 8.7274227, .16340855, 139.59544, 1154.8197
2.4666209, 24.165169, 3.0660713, 34.495667, 1.4682125, 3.5991099, 1.7279762, 10.833883, .29710534, 89.597534, 1246.5427
2.9203775, 26.886547, 7.3016624, 565.37280, 1.4664505, .70449418, 1.9517909, 15.497371, .42351091, 104.96693, 1483.6471
2.3418624, 25.733318, 8.3250093, 310.07559, 1.5051677, 1.7865118, 1.9235789, 16.658512, .22959298, 85.253891, 1877.0054
1.8074176, 21.668686, 3.4608243, 40.756538, .58820182, 3.5365660, 1.6284199, 6.8798251, .37506637, 66.543785, 1801.8132
2.0982435, 24.030001, 3.4495580, 42.077896, .85912538, 3.7998605, 1.8316827, 5.4146323, .26814303, 24.722153, 1715.9683
1.6414293, 26.953594, 6.0914836, 238.79669, .65420675, 3.7140098, 1.3225201, 16.313293, .31627360, 96.640152, 1282.1067
1.5129900, 22.924355, 3.6123769, 168.25459, 1.0681053, 2.7087612, 1.8357191, 12.004287, .48302644, 167.23520, 470.67465
1.4742607, 26.854137, 4.6933241, 406.21008, .85170615, 3.3708427, 1.4307346, 19.345652, .40069377, 61.696236, 1256.2036
1.3326651, 25.907301, 3.6608438, 403.76810, .24945419, 2.6253941, 1.2557098, 19.407597, .27053541, 73.131493, 647.84698
1.0426043, 24.921139, 2.7505810, 508.63843, 1.0828038, .84938169, 1.8970721, 9.4548187, .74327302, 106.29852, 803.59558
1.0354594, 22.577652, 4.1230383, 522.70959, .94773626, 3.2708108, 1.8510038, 8.6812487, .30632660, 18.198298, 1000.4890
2.0452819, 21.792933, 4.1574364, 230.97176, .59955233, 1.9682019, .80514085, 3.1853127, .46531105, 162.61217, 1272.2537
1.7806227, 28.948265, 6.6966352, 198.97412, .69685769, 2.6666329, .76166153, 8.0073185, .51492625, 144.26945, 1168.3992
1.8072158, 23.611439, 1.9105648, 562.58716, 1.3838167, 3.2476351, 1.2205591, 11.494451, .75686163, 130.39783, 1647.1808
2.5568302, 21.493999, .66743249, 498.36130, 1.4331315, 3.5350173, .96373260, 10.380852, .51792550, 53.385326, 1270.9639
2.2861221, 26.908926, 3.5814459, 248.59711, .89740360, 3.9108098, 1.7381892, 7.4522352, .76062024, 24.063299, 1656.0597
2.3254938, 27.095600, 1.8811671, 480.54456, .85257781, 4.7561388, 1.4405277, 8.6706009, .69202650, 20.403128, 1987.1572
2.0169158, 19.062057, 3.8446708, 644.74231, .67945844, 1.6254539, 1.7375467, 13.138906, .23948589, 142.69724, 1142.9827
1.4226503, 20.464584, 4.4590063, 732.90497, .39433861, 3.2446311, 1.7054826, 4.8186660, .61720842, 135.41042, 1397.8026
1.6383461, 28.061165, 1.4575250, 525.04333, .95167297, 1.4389563, 1.8377957, 4.9568834, .56220037, 92.251541, 417.43228
1.5755185, 25.942574, .64186710, 581.37573, 1.1319693, .23581058, 1.8971246, 9.2878036, .28741628, 111.05270, 486.54929
2.4824200, 21.046946, .77242619, 226.26941, .99806219, 4.2294765, 1.5354921, 4.7576456, .68358016, 162.24652, 915.00494
2.8679314, 21.854362, .61469471, 591.67310, .44753441, 3.6063926, .97918808, 13.203389, .78259909, 174.45927, 1668.7260
2.4738111, 24.774364, .52798665, 496.09869, 1.1834145, 3.4913220, 1.0093944, 6.6678238, .24390268, 95.299797, 1080.9851
2.2552071, 23.073170, 1.6110189, 328.66672, 1.6810504, 2.9671969, .97028100, 9.3631449, .16009657, 25.255060, 1994.1223
1.1471742, 21.167471, .55275005, 525.10797, 1.4492577, 1.9104060, .83233488, 9.9412098, .20116872, 13.496589, 1720.9153
1.1387565, 18.489719, .86012548, 514.45068, 1.4025584, 1.0707133, .79013109, 7.3951373, .20848009, 54.208351, 1820.8112
1.9945955, 19.217972, 2.0364356, 598.91815, 1.5984823, 2.8749089, 1.4752347, 4.8921537, .23376396, 75.502068, 1584.3591
2.7422082, 26.184727, 5.1891475, 185.28520, 1.4688076, .72554052, 1.2359943, 5.4390287, .26801568, 88.238136, 1404.5725
2.9429796, 25.120863, 5.0036945, 208.74445, 1.5653684, .83110023, 1.2515752, 2.6349354, .50492966, 114.97667, 1610.1268
2.9759688, 24.605955, 7.0184426, 572.94171, 1.3769729, 1.8809297, 1.6020243, 3.6022675, .54272026, 157.21062, 1572.6316
2.9979911, 22.087809, 4.6958246, 657.16486, 1.0335284, 4.4006553, 1.4031701, 9.6555147, .52465791, 179.72818, 1078.9287
2.0492692, 21.783722, 6.1848636, 429.22025, 1.1062931, 4.5480494, .89877677, 6.7419033, .20528252, 145.62610, 1089.3064
1.2373303, 21.787434, 3.0286710, 544.01105, 1.0556461, 2.4870777, .90488827, 14.255246, .87719560, 114.40829, 760.05371
1.5478984, 24.040926, 1.0344334, 398.41525, .76661587, 3.7083316, 1.4513175, 13.195709, .93612242, 180.84425, 705.30408
1.8644857, 21.537079, 2.4331870, 268.97668, .71937960, 3.3289788, 1.3670205, 13.047559, .90601259, 95.043915, 893.74884
1.7773439, 18.106094, 4.8172207, 366.64792, 1.3895506, 3.1017878, 1.9650972, 14.268747, .80939895, 88.559662, 1097.2582
1.4896021, 18.991421, 6.6305609, 294.73453, 1.4547479, 2.9660933, 1.9734977, 14.932916, .60960644, 42.207340, 1008.7057
