   4.75542396E-02  -1.01426961E-02  -3.08330683E-03   4.30523325E-03  -1.60307216E-03  -2.60090549E-03  -2.11214181E-02   1.82690809E-03   3.85284349E-02   7.19668902E-03   1.51552679E-02   2.06082710E-03  -9.89219916E-05   1.36255445E-02  -1.72511879E-02  -5.28322952E-03
  -1.01426970E-02   9.16982815E-02   4.20904864E-04  -4.57583787E-03   5.39774308E-03   2.85278484E-02   1.43920127E-02  -1.20576248E-02  -2.06335839E-02   1.22688105E-02  -3.81591022E-02  -3.88924815E-02  -1.34017330E-03   3.30711491E-02  -6.18264591E-03  -3.33925686E-03
  -3.08330660E-03   4.20904922E-04   5.45042846E-03   3.90945352E-04   4.89077414E-04  -4.69457917E-03  -3.87049466E-03  -2.14260491E-03  -4.67178551E-03   2.77054263E-03  -1.83791656E-03   6.26824913E-04  -1.81528449E-04  -2.91040726E-03  -6.23271661E-03   6.51726965E-04
   4.30523371E-03  -4.57583740E-03   3.90945119E-04   8.61989334E-03   1.46102614E-03  -4.35153535E-03   6.77051907E-03   1.07711006E-03   4.57453076E-03   3.23434942E-03   4.51407395E-03  -3.27903265E-03   2.01321600E-04   4.08440037E-03  -1.20870713E-02   5.51066687E-03
  -1.60307228E-03   5.39774308E-03   4.89077764E-04   1.46102603E-03   6.75531197E-03   5.66412974E-03   1.03631208E-03   2.83912779E-03  -6.99057803E-03   1.15098793E-03  -4.41210344E-03   1.35202764E-03   4.31916968E-04   3.08928103E-03   6.58040354E-03   1.21715968E-03
  -2.60090688E-03   2.85278466E-02  -4.69457870E-03  -4.35153581E-03   5.66412974E-03  0.171153516      -4.57868155E-04   1.31331687E-03  -1.46473506E-02  -2.64968500E-02  -6.93377992E-03  -4.26381081E-03  -8.36518244E-04   2.02183574E-02  0.125543699      -1.35520997E-03
  -2.11214200E-02   1.43920090E-02  -3.87049466E-03   6.77051907E-03   1.03631197E-03  -4.57868155E-04  0.137283102       6.09632628E-03  -1.04450993E-02  -1.59047134E-02  -1.99083276E-02  -4.63506468E-02  -3.27178859E-03  -4.26814798E-03  -1.56802926E-02   1.04923304E-02
   1.82690902E-03  -1.20576248E-02  -2.14260467E-03   1.07710995E-03   2.83912802E-03   1.31331722E-03   6.09632581E-03   2.65297927E-02   1.59632545E-02   3.46213998E-03  -1.98598066E-03   3.25785251E-03   6.26234687E-04  -5.31431288E-03   3.22282576E-04   3.34632630E-03
   3.85284349E-02  -2.06335820E-02  -4.67178598E-03   4.57453076E-03  -6.99057803E-03  -1.46473469E-02  -1.04451012E-02   1.59632545E-02   7.85952806E-02   3.42217162E-02   1.28122671E-02   2.32588984E-02   1.12570508E-03   2.95425914E-02  -3.24399993E-02  -4.55645239E-03
   7.19668902E-03   1.22688105E-02   2.77054310E-03   3.23434919E-03   1.15098804E-03  -2.64968500E-02  -1.59047153E-02   3.46213998E-03   3.42217162E-02  0.139409676       1.95423290E-02   4.76560071E-02   2.99216085E-03   9.23882723E-02  -1.47103285E-03  -6.19931240E-03
   1.51552651E-02  -3.81590985E-02  -1.83791656E-03   4.51407349E-03  -4.41210344E-03  -6.93377946E-03  -1.99083276E-02  -1.98598043E-03   1.28122652E-02   1.95423290E-02   5.20519502E-02   2.74908151E-02   2.72642844E-03  -1.61961392E-02   1.90931205E-02  -6.36321772E-03
   2.06082826E-03  -3.88924852E-02   6.26825087E-04  -3.27903265E-03   1.35202787E-03  -4.26380942E-03  -4.63506505E-02   3.25785251E-03   2.32588984E-02   4.76560071E-02   2.74908170E-02  0.116494752       5.46697620E-03  -1.45481238E-02   2.80476711E-03  -9.17590410E-03
  -9.89220498E-05  -1.34017330E-03  -1.81528419E-04   2.01321600E-04   4.31916938E-04  -8.36518127E-04  -3.27178859E-03   6.26234687E-04   1.12570508E-03   2.99216085E-03   2.72642844E-03   5.46697620E-03   1.09016278E-03  -1.86891900E-03   5.22310496E-04  -2.00933398E-04
   1.36255454E-02   3.30711491E-02  -2.91040726E-03   4.08440037E-03   3.08928103E-03   2.02183574E-02  -4.26814938E-03  -5.31431288E-03   2.95425914E-02   9.23882723E-02  -1.61961410E-02  -1.45481192E-02  -1.86891924E-03  0.161921889       1.82444882E-02   6.76251482E-03
  -1.72511898E-02  -6.18264591E-03  -6.23271661E-03  -1.20870722E-02   6.58040354E-03  0.125543699      -1.56802945E-02   3.22282605E-04  -3.24399993E-02  -1.47103309E-03   1.90931205E-02   2.80476664E-03   5.22310380E-04   1.82444882E-02  0.189481184      -1.17954500E-02
  -5.28322952E-03  -3.33925709E-03   6.51727023E-04   5.51066687E-03   1.21715956E-03  -1.35521009E-03   1.04923304E-02   3.34632630E-03  -4.55645239E-03  -6.19931240E-03  -6.36321865E-03  -9.17590410E-03  -2.00933267E-04   6.76251389E-03  -1.17954500E-02   1.09681590E-02
