204.31302, 6399.6685, 241.60623, 473.91730, 323.70026, 1193.6210, 224.50467, 4578.2168, 2692.1843, .30716574E-01, .63802257E-01, 9.3999958, -.22407796E-02
204.25140, 6399.6440, 240.62073, 473.82748, 325.44431, 1194.0840, 225.00838, 4578.4380, 2692.2642, .28475795E-01, .59149947E-01, 9.3999929, -.37682283E-03
204.20793, 6399.6392, 239.69151, 473.74991, 327.18573, 1194.5504, 225.09525, 4578.4751, 2692.2793, .28098971E-01, .58367547E-01, 9.3999872, -.34293215E-03
204.14757, 6399.6157, 238.74052, 473.66367, 328.92206, 1195.0161, 225.17709, 4578.5103, 2692.2922, .27756037E-01, .57655510E-01, 9.3999825, -.15775707E-02
204.08275, 6399.5879, 237.79012, 473.57547, 330.65152, 1195.4783, 225.54056, 4578.6655, 2692.3508, .26178464E-01, .54379880E-01, 9.3999825, -.18194000E-02
203.99750, 6399.5371, 236.76691, 473.47055, 332.37518, 1195.9395, 225.96033, 4578.8486, 2692.4158, .24359064E-01, .50601922E-01, 9.3999825, -.19686992E-03
203.93591, 6399.5117, 235.80040, 473.37939, 334.09561, 1196.4028, 226.01413, 4578.8721, 2692.4243, .24162196E-01, .50193112E-01, 9.3999825, -.53831963E-02
203.84293, 6399.4517, 234.76892, 473.26953, 335.80374, 1196.8521, 227.24100, 4579.3965, 2692.6160, .18779004E-01, .39013673E-01, 9.3999825, -.28742584E-02
203.65468, 6399.3325, 233.62454, 473.12802, 337.53845, 1197.3207, 227.90331, 4579.6777, 2692.7197, .15904738E-01, .33043820E-01, 9.3999825, -.11256803E-03
203.53375, 6399.2881, 232.63873, 473.02686, 339.27112, 1197.7960, 227.94009, 4579.6924, 2692.7256, .15792169E-01, .32810006E-01, 9.3999825, -.54291869E-03
203.45979, 6399.2485, 231.67232, 472.92880, 340.96878, 1198.2551, 228.07388, 4579.7485, 2692.7471, .15249249E-01, .31682294E-01, 9.3999815, -.24536462E-02
203.38454, 6399.2075, 230.71614, 472.83090, 342.65869, 1198.7092, 228.64157, 4579.9873, 2692.8350, .12795602E-01, .26585545E-01, 9.3999805, -.71356830E-03
203.27539, 6399.1279, 229.69643, 472.71375, 344.34543, 1199.1672, 228.81493, 4580.0596, 2692.8623, .12082035E-01, .25103237E-01, 9.3999777, -.17420696E-03
203.20171, 6399.0884, 228.77916, 472.62009, 346.02771, 1199.6254, 228.86540, 4580.0796, 2692.8704, .11907829E-01, .24741353E-01, 9.3999748, -.17320160E-03
203.09740, 6399.0137, 227.80598, 472.50912, 347.70477, 1200.0824, 228.91577, 4580.1001, 2692.8789, .11734629E-01, .24381556E-01, 9.3999720, -.18063387E-03
203.01509, 6398.9639, 226.91173, 472.41458, 349.37665, 1200.5394, 228.96786, 4580.1211, 2692.8877, .11553996E-01, .24006316E-01, 9.3999691, -.19309783E-03
202.86263, 6398.8828, 225.96451, 472.30392, 351.07254, 1201.0090, 229.02266, 4580.1436, 2692.8970, .11360901E-01, .23605185E-01, 9.3999662, -.17841966E-03
202.77524, 6398.8267, 225.09552, 472.20975, 352.73438, 1201.4642, 229.07455, 4580.1646, 2692.9055, .11182481E-01, .23234533E-01, 9.3999634, -.17079392E-03
202.65855, 6398.7378, 224.15802, 472.09714, 354.39130, 1201.9183, 229.12486, 4580.1836, 2692.9128, .11011688E-01, .22879729E-01, 9.3999634, -.16273402E-03
202.56570, 6398.6753, 223.29619, 472.00085, 356.04330, 1202.3724, 229.17357, 4580.2036, 2692.9194, .10848955E-01, .22541665E-01, 9.3999634, -.20474469E-03
202.43661, 6398.5723, 222.33963, 471.88046, 357.69031, 1202.8259, 229.23180, 4580.2251, 2692.9282, .10644211E-01, .22116324E-01, 9.3999605, -.22506340E-03
202.34152, 6398.5078, 221.49290, 471.78418, 359.33234, 1203.2778, 229.29471, 4580.2480, 2692.9373, .10419148E-01, .21648766E-01, 9.3999567, -.13220884E-03
202.22688, 6398.4214, 220.59909, 471.67499, 360.96970, 1203.7290, 229.33708, 4580.2632, 2692.9441, .10286940E-01, .21374114E-01, 9.3999567, -.17093694E-03
202.11501, 6398.3374, 219.72156, 471.56821, 362.60226, 1204.1802, 229.38808, 4580.2812, 2692.9514, .10116003E-01, .21018995E-01, 9.3999567, -.13664708E-03
202.00195, 6398.2520, 218.84927, 471.46115, 364.23004, 1204.6313, 229.43155, 4580.2969, 2692.9583, .99793570E-02, .20735119E-01, 9.3999567, -.93879920E-04
201.88361, 6398.1602, 217.96843, 471.35056, 365.85297, 1205.0806, 229.46556, 4580.3086, 2692.9641, .98854769E-02, .20540083E-01, 9.3999567, -.80785423E-04
201.75813, 6398.0610, 217.07332, 471.23517, 367.47095, 1205.5288, 229.49667, 4580.3223, 2692.9700, .98046931E-02, .20372258E-01, 9.3999567, -.53283431E-04
201.62004, 6397.9473, 216.14671, 471.11105, 369.08401, 1205.9771, 229.52168, 4580.3340, 2692.9751, .97514102E-02, .20261563E-01, 9.3999567, -.13606902E-02
