-.38732506E-01, -.11903684, .12286990E-04, .79550429E-10, .23579871E-03, .31267494E-01, .64946033E-01, 9.3999958
-.22534735E-02, -.69445944E-02, .12289591E-04, .59236643E-10, .16884727E-03, .29014025E-01, .60267448E-01, 9.3999929
-.38513969E-03, -.12120287E-02, .12289805E-04, .57512238E-10, .15406853E-03, .28628886E-01, .59467804E-01, 9.3999872
-.35070616E-03, -.11406278E-02, .12289895E-04, .56724944E-10, .11960092E-03, .28278174E-01, .58739629E-01, 9.3999825
-.16076082E-02, -.50545842E-02, .12290031E-04, .55656153E-10, .72492963E-04, .26670566E-01, .55401679E-01, 9.3999825
-.18542103E-02, -.58364705E-02, .12290737E-04, .44370626E-07, .49511116E-04, .24816358E-01, .51551506E-01, 9.3999825
-.20170359E-03, -.74678101E-03, .12290860E-04, .77587288E-07, .55314340E-04, .24614654E-01, .51132664E-01, 9.3999825
-.54853745E-02, -.17015746E-01, .12291192E-04, .16970677E-07, .42623527E-04, .19129286E-01, .39741170E-01, 9.3999825
-.29281459E-02, -.91809537E-02, .12292854E-04, .20290273E-07, .10666573E-04, .16201138E-01, .33659466E-01, 9.3999825
-.11577625E-03, -.50962297E-03, .12293033E-04, .32274666E-10, .28451213E-04, .16085362E-01, .33418994E-01, 9.3999825
-.55396796E-03, -.18502111E-02, .12293134E-04, .31459314E-10, .36192978E-04, .15531396E-01, .32268349E-01, 9.3999815
-.24998204E-02, -.78440709E-02, .12293647E-04, .27325931E-10, .30172854E-04, .13031574E-01, .27075727E-01, 9.3999805
-.72745286E-03, -.23914434E-02, .12293938E-04, .25038308E-10, .28979353E-04, .12304119E-01, .25564581E-01, 9.3999777
-.17850207E-03, -.69566211E-03, .12294027E-04, .24337900E-10, .35468125E-04, .12125620E-01, .25193781E-01, 9.3999748
-.17746141E-03, -.69335103E-03, .12294073E-04, .23972900E-10, .34582135E-04, .11948159E-01, .24825133E-01, 9.3999720
-.18499875E-03, -.71639515E-03, .12294127E-04, .23601301E-10, .34732981E-04, .11763162E-01, .24440829E-01, 9.3999691
-.19769221E-03, -.75281947E-03, .12294178E-04, .23213985E-10, .37368853E-04, .11565468E-01, .24030145E-01, 9.3999662
-.18272901E-03, -.71216753E-03, .12294229E-04, .22827917E-10, .31987500E-04, .11382739E-01, .23650549E-01, 9.3999634
-.17494931E-03, -.68957004E-03, .12294282E-04, .22456955E-10, .30653206E-04, .11207793E-01, .23287117E-01, 9.3999634
-.16672871E-03, -.66742126E-03, .12294329E-04, .22113238E-10, .27512764E-04, .11041064E-01, .22940755E-01, 9.3999634
-.20941388E-03, -.79609494E-03, .12294380E-04, .21748284E-10, .30179031E-04, .10831649E-01, .22505712E-01, 9.3999605
-.23011782E-03, -.85911719E-03, .12294439E-04, .21310178E-10, .30866286E-04, .10601531E-01, .22027655E-01, 9.3999567
-.13564133E-03, -.57835021E-03, .12294491E-04, .20936985E-10, .20945618E-04, .10465888E-01, .21745868E-01, 9.3999567
-.17504139E-03, -.69553131E-03, .12294533E-04, .20625975E-10, .24998370E-04, .10290847E-01, .21382228E-01, 9.3999567
-.14010150E-03, -.59191429E-03, .12294575E-04, .20308729E-10, .21111799E-04, .10150744E-01, .21091171E-01, 9.3999567
-.96588759E-04, -.46257843E-03, .12294608E-04, .20065345E-10, .16563952E-04, .10054155E-01, .20890510E-01, 9.3999567
-.83232735E-04, -.42345692E-03, .12294636E-04, .19893871E-10, .14591023E-04, .99709220E-02, .20717595E-01, 9.3999567
-.55259217E-04, -.33947764E-03, .12294662E-04, .19748004E-10, .12497901E-04, .99156639E-02, .20602796E-01, 9.3999567
-.13796134E-02, -.44262963E-02, .12294939E-04, .17514533E-10, .14259310E-05, .85360501E-02, .17736614E-01, 9.3999567
-.27808283E-04, -.26709179E-03, .12295023E-04, .16927824E-10, .42626775E-06, .85082408E-02, .17678836E-01, 9.3999567
-.51479055E-04, -.33693970E-03, .12295045E-04, .16852197E-10, .34171721E-05, .84567638E-02, .17571891E-01, 9.3999567
-.81696329E-04, -.42509389E-03, .12295071E-04, .16728766E-10, .82473025E-05, .83750663E-02, .17402157E-01, 9.3999567
-.72274255E-04, -.39344115E-03, .12295099E-04, .16564852E-10, .10908482E-04, .83027920E-02, .17252002E-01, 9.3999567
-.12573700E-03, -.55289821E-03, .12295127E-04, .16379413E-10, .15966847E-04, .81770532E-02, .16990766E-01, 9.3999567
-.96585944E-04, -.46509402E-03, .12295166E-04, .16153117E-10, .14070144E-04, .80804685E-02, .16790103E-01, 9.3999567
-.90657210E-04, -.44925447E-03, .12295195E-04, .15968898E-10, .11667128E-04, .79898117E-02, .16601756E-01, 9.3999567
-.10044058E-03, -.47516648E-03, .12295224E-04, .15784927E-10, .15862466E-04, .78893714E-02, .16393078E-01, 9.3999567
-.67172245E-04, -.37543042E-03, .12295255E-04, .15608221E-10, .13226020E-04, .78221969E-02, .16253518E-01, 9.3999567
-.13959508E-03, -.58802438E-03, .12295287E-04, .15415648E-10, .23495872E-04, .76826015E-02, .15963489E-01, 9.3999548
-.89696900E-04, -.44180665E-03, .12295323E-04, .15175436E-10, .16166608E-04, .75929044E-02, .15777132E-01, 9.3999548
-.16881760E-03, -.67591394E-03, .12295359E-04, .14926168E-10, .25536894E-04, .74240877E-02, .15426394E-01, 9.3999548
-.11530270E-03, -.51885215E-03, .12295393E-04, .14644072E-10, .17921282E-04, .73087849E-02, .15186834E-01, 9.3999548
-.16504079E-03, -.66869060E-03, .12295433E-04, .14371227E-10, .21144102E-04, .71437433E-02, .14843936E-01, 9.3999519
-.15537310E-03, -.63966744E-03, .12295477E-04, .14057869E-10, .20420486E-04, .69883699E-02, .14521120E-01, 9.3999491
-.17562867E-03, -.70119585E-03, .12295526E-04, .13732057E-10, .21228951E-04, .68127410E-02, .14156220E-01, 9.3999462
-.15480677E-03, -.63937181E-03, .12295573E-04, .13395076E-10, .18980456E-04, .66579352E-02, .13834582E-01, 9.3999453
-.18146008E-03, -.72124030E-03, .12295619E-04, .13066264E-10, .19137862E-04, .64764749E-02, .13457563E-01, 9.3999434
-.80590675E-04, -.41957531E-03, .12295654E-04, .12790809E-10, .10391227E-04, .63958848E-02, .13290120E-01, 9.3999434
-.11338428E-03, -.51713950E-03, .12295683E-04, .12602092E-10, .13747583E-04, .62825000E-02, .13054539E-01, 9.3999434
-.25352702E-03, -.93985465E-03, .12295724E-04, .12257583E-10, .22314342E-04, .60289730E-02, .12527780E-01, 9.3999386
-.19838868E-03, -.77788177E-03, .12295783E-04, .11803673E-10, .14608491E-04, .58305846E-02, .12115580E-01, 9.3999348
-.95754622E-04, -.46839294E-03, .12295823E-04, .11484239E-10, .82483675E-05, .57348297E-02, .11916624E-01, 9.3999348
-.51468676E-04, -.33471730E-03, .12295846E-04, .11348188E-10, .56360691E-05, .56833616E-02, .11809687E-01, 9.3999348
-.81046113E-04, -.42340657E-03, .12295871E-04, .11213619E-10, .79716910E-05, .56023146E-02, .11641291E-01, 9.3999348
-.11744550E-03, -.53261255E-03, .12295896E-04, .11021012E-10, .10786282E-04, .54848688E-02, .11397266E-01, 9.3999348
-.13907824E-03, -.59620413E-03, .12295933E-04, .10764901E-10, .13772174E-04, .53457902E-02, .11108291E-01, 9.3999348
-.15128225E-03, -.63304673E-03, .12295968E-04, .10482352E-10, .14490451E-04, .51945080E-02, .10793961E-01, 9.3999348
-.19120733E-03, -.75395266E-03, .12296011E-04, .10148133E-10, .16459564E-04, .50033005E-02, .10396671E-01, 9.3999319
-.23098892E-03, -.87634887E-03, .12296060E-04, .97350123E-11, .16499196E-04, .47723115E-02, .99167200E-02, 9.3999300
-.21130775E-03, -.81872114E-03, .12296116E-04, .92897929E-11, .13562738E-04, .45610028E-02, .94776591E-02, 9.3999271
-.27781949E-03, -.10234814E-02, .12296183E-04, .87359460E-11, .13507609E-04, .42831828E-02, .89003937E-02, 9.3999271
-.12367993E-03, -.55481511E-03, .12296222E-04, .83938741E-11, .77931045E-05, .41595032E-02, .86434055E-02, 9.3999271
-.20140073E-03, -.79089653E-03, .12296263E-04, .80778604E-11, .10913444E-04, .39581019E-02, .82249222E-02, 9.3999252
-.12280101E-03, -.55256760E-03, .12296304E-04, .77477347E-11, .73412193E-05, .38353004E-02, .79697557E-02, 9.3999252
-.10510212E-03, -.49841759E-03, .12296332E-04, .75183791E-11, .70213455E-05, .37301984E-02, .77513666E-02, 9.3999252
-.10787572E-03, -.50661911E-03, .12296363E-04, .73104162E-11, .73577944E-05, .36223230E-02, .75272140E-02, 9.3999252
-.92002992E-04, -.46094120E-03, .12296391E-04, .71229181E-11, .41852682E-05, .35303202E-02, .73360414E-02, 9.3999252
-.20248471E-03, -.79796172E-03, .12296427E-04, .68399457E-11, .72007906E-05, .33278356E-02, .69152988E-02, 9.3999224
-.24374783E-03, -.92345482E-03, .12296484E-04, .64019467E-11, .87116532E-05, .30840873E-02, .64088101E-02, 9.3999176
