0.29773512, 0.51908121E-1, 0.64202344, 0.83333412E-2
0.29922876, 0.19915244E-1, 0.68085605, 0.74505806E-8
0.29813054, 0.19838709E-1, 0.68203086, 0.0000000
0.29557416, 0.19664977E-1, 0.68476087, 0.24835269E-8
0.28647411, 0.19054998E-1, 0.69447088, 0.49670539E-8
0.27099416, 0.18020153E-1, 0.71098566, 0.24835269E-8
0.25717822, 0.17097497E-1, 0.72572440, 0.0000000
0.26077968, 0.87349571E-1, 0.62687081, 0.24999999E-1
0.24269338, 0.16132392E-1, 0.74117422, 0.74505806E-8
0.23825406, 0.15837146E-1, 0.74590880, 0.0000000
0.23477268, 0.15605037E-1, 0.74962217, 0.49670539E-8
0.23975915, 0.50943047E-1, 0.69679785, 0.12500000E-1
0.24998070, 0.98298453E-1, 0.62255412, 0.29166676E-1
0.22863247, 0.15194713E-1, 0.75617284, 0.0000000
0.22794050, 0.15149069E-1, 0.75691038, -0.14901161E-7
0.22732912, 0.15109911E-1, 0.75756097, 0.12417634E-7
0.22670923, 0.15069988E-1, 0.75822085, 0.24835269E-8
0.22580862, 0.15010118E-1, 0.75918126, -0.74505806E-8
0.22506730, 0.14959559E-1, 0.75997311, -0.74505806E-8
0.22467200, 0.14932181E-1, 0.76039582, 0.24835269E-8
0.22459501, 0.14926494E-1, 0.76047844, -0.49670539E-8
0.22447018, 0.14917728E-1, 0.76061207, 0.14901161E-7
0.22391422, 0.14879774E-1, 0.76120597, 0.99341078E-8
0.22383749, 0.14873057E-1, 0.76128954, 0.24835269E-8
0.22377361, 0.14867220E-1, 0.76135921, 0.99341078E-8
0.22369517, 0.14860410E-1, 0.76144451, 0.24835269E-8
0.22359996, 0.14852263E-1, 0.76154774, 0.24835269E-8
0.22351815, 0.14844780E-1, 0.76163703, 0.0000000
0.22343595, 0.14836781E-1, 0.76172727, -0.14901161E-7
0.22337385, 0.14829834E-1, 0.76179630, 0.74505806E-8
0.22331107, 0.14822993E-1, 0.76186591, 0.24835269E-8
0.22323664, 0.14815427E-1, 0.76194805, 0.0000000
0.22315894, 0.14807630E-1, 0.76203346, 0.49670539E-8
0.22310059, 0.14801067E-1, 0.76209825, 0.99341078E-8
0.22304589, 0.14794569E-1, 0.76215953, 0.49670539E-8
0.22296219, 0.14786053E-1, 0.76225168, -0.12417634E-7
0.22287159, 0.14776971E-1, 0.76235145, 0.12417634E-7
0.22277273, 0.14767268E-1, 0.76245999, 0.49670539E-8
0.22268702, 0.14758326E-1, 0.76255465, 0.14901161E-7
0.22402234, 0.14843767E-1, 0.76113391, 0.74505806E-8
0.26065382, 0.17271947E-1, 0.72207427, 0.0000000
0.27044311, 0.17923390E-1, 0.71163362, 0.74505806E-8
0.25536290, 0.16926058E-1, 0.72771102, 0.49670539E-8
0.24467672, 0.16219610E-1, 0.73910373, 0.12417634E-7
0.23836707, 0.15803719E-1, 0.74582916, 0.24835269E-8
0.23403837, 0.15519553E-1, 0.75044203, 0.49670539E-8
0.23088491, 0.15313475E-1, 0.75380158, 0.0000000
0.99995524, 0.97049826E-6, 0.43751545E-4, 0.0000000
0.99997407, 0.81333695E-6, 0.25050636E-4, 0.24835269E-8
0.99996990, 0.11758524E-5, 0.29130942E-4, -0.24835269E-8
0.99996310, 0.16838457E-5, 0.35243454E-4, 0.99341078E-8
0.99996215, 0.19713011E-5, 0.35872188E-4, -0.74505806E-8
0.99996108, 0.22806428E-5, 0.36657191E-4, -0.99341078E-8
0.99995542, 0.28903157E-5, 0.41739080E-4, 0.24835269E-8
0.99995118, 0.34578409E-5, 0.45436816E-4, -0.49670539E-8
0.99972898, 0.21866044E-4, 0.24914506E-3, 0.14901161E-7
0.99968857, 0.26500145E-4, 0.28483223E-3, 0.99341078E-8
0.99978042, 0.19596071E-4, 0.19996130E-3, 0.99341078E-8
0.99984246, 0.14695469E-4, 0.14283754E-3, 0.99341078E-8
0.99987596, 0.12114707E-4, 0.11211311E-3, 0.0000000
0.99985623, 0.14927718E-4, 0.12887917E-3, 0.74505806E-8
0.99959964, 0.43944849E-4, 0.35627364E-3, 0.17384687E-7
0.99928355, 0.85275351E-4, 0.63117914E-3, -0.74505806E-8
0.99886042, 0.14163683E-3, 0.99775288E-3, 0.14901161E-7
0.99749440, 0.36876358E-3, 0.21369953E-2, -0.14901161E-7
0.99736547, 0.38951109E-3, 0.22449207E-2, -0.24835269E-8
0.99783254, 0.31691408E-3, 0.18503475E-2, -0.99341078E-8
0.99814266, 0.27085669E-3, 0.15864981E-2, 0.74505806E-8
0.99840903, 0.23257713E-3, 0.13584984E-2, 0.49670539E-8
0.99843758, 0.23159524E-3, 0.13308182E-2, -0.49670539E-8
0.99863499, 0.20418315E-3, 0.11608771E-2, 0.0000000
0.99543065, 0.89006039E-3, 0.36793968E-2, 0.49670539E-8
0.99523002, 0.92147122E-3, 0.38485238E-2, 0.74505806E-8
0.99660087, 0.61919639E-3, 0.27799008E-2, 0.99341078E-8
0.99768263, 0.40028954E-3, 0.19171964E-2, 0.24835269E-8
0.99817222, 0.31065740E-3, 0.15172163E-2, 0.24835269E-8
0.96534419, 0.58789793E-2, 0.28776869E-1, 0.14901161E-7
0.20348392, 0.13426632, 0.66224974, 0.99341078E-8
0.20175512, 0.13298707, 0.66525781, 0.24835269E-8
0.20058058, 0.13207488, 0.66734457, 0.12417634E-7
0.19994688, 0.13152014, 0.66853291, 0.24835269E-8
0.19942884, 0.13104218, 0.66952902, 0.49670539E-8
0.19912827, 0.13070780, 0.67016393, 0.12417634E-7
0.19875103, 0.13032371, 0.67092520, 0.99341078E-8
0.19822407, 0.12984203, 0.67193389, 0.12417634E-7
0.19786353, 0.12946998, 0.67266655, 0.12417634E-7
0.19776875, 0.12927219, 0.67295915, 0.99341078E-8
0.19770174, 0.12909272, 0.67320555, 0.49670539E-8
0.19764054, 0.12891720, 0.67344218, 0.14901161E-7
0.19757569, 0.12873948, 0.67368478, 0.74505806E-8
0.19751607, 0.12856524, 0.67391872, 0.0000000
0.19745208, 0.12838839, 0.67415953, 0.0000000
0.19739310, 0.12821485, 0.67439193, 0.49670539E-8
0.19734459, 0.12804830, 0.67460710, 0.12417634E-7
0.19730707, 0.12788892, 0.67480415, 0.49670539E-8
0.19726266, 0.12772524, 0.67501211, 0.24835269E-8
0.19722164, 0.12756383, 0.67521453, 0.49670539E-8
0.19874243, 0.12841152, 0.67284602, 0.49670539E-8
0.20310198, 0.13109095, 0.66580707, 0.99341078E-8
0.20052673, 0.12929340, 0.67017978, 0.74505806E-8
0.19747914, 0.12719372, 0.67532712, 0.0000000
0.19711639, 0.12682559, 0.67605805, 0.74505806E-8
0.19708391, 0.12667038, 0.67624575, 0.74505806E-8
0.19706161, 0.12652175, 0.67641670, 0.14901161E-7
0.19705729, 0.12638475, 0.67655796, 0.0000000
0.20212907, 0.12949969, 0.66837126, 0.49670539E-8
0.20954251, 0.13411058, 0.65634692, 0.24835269E-8
0.20606147, 0.13174605, 0.66219252, 0.24835269E-8
0.20162290, 0.12877245, 0.66960460, 0.17384687E-7
0.20010704, 0.12766935, 0.67222357, 0.49670539E-8
0.19876315, 0.12667742, 0.67455941, 0.74505806E-8
0.19827706, 0.12623338, 0.67548960, 0.24835269E-8
0.19806236, 0.12596260, 0.67597502, 0.0000000
0.19799621, 0.12578653, 0.67621732, 0.49670539E-8
0.19794942, 0.12562288, 0.67642766, 0.24835269E-8
0.20220523, 0.12818699, 0.66960770, 0.0000000
0.20714609, 0.13118148, 0.66167241, 0.24835269E-8
0.21060152, 0.13323008, 0.65616840, 0.49670539E-8
0.20591609, 0.13013031, 0.66395360, 0.12417634E-7
0.20055580, 0.12660782, 0.67283636, 0.14901161E-7
0.19935638, 0.12571643, 0.67492723, 0.19868216E-7
0.20089601, 0.12655167, 0.67255235, 0.19868216E-7
0.21905540, 0.13784398, 0.64310056, 0.99341078E-8
0.25500092, 0.16030458, 0.58469445, 0.22351742E-7
0.24565355, 0.15427297, 0.60007340, 0.14901161E-7
0.22994685, 0.14425956, 0.62579352, 0.74505806E-8
0.21690996, 0.13593736, 0.64715266, 0.12417634E-7
0.20962854, 0.13123415, 0.65913731, 0.24835269E-8
0.20605092, 0.12885706, 0.66509211, 0.24835269E-8
0.20358258, 0.12717734, 0.66924018, 0.74505806E-8
0.20214099, 0.12614161, 0.67171746, 0.14901161E-7
0.20114227, 0.12538382, 0.67347401, 0.12417634E-7
0.20043759, 0.12481051, 0.67475194, 0.99341078E-8
0.20303257, 0.12629034, 0.67067713, 0.74505806E-8
0.20126341, 0.12505667, 0.67368001, 0.12417634E-7
0.19901739, 0.12352765, 0.67745495, 0.12417634E-7
0.19891711, 0.12333243, 0.67775059, -0.24835269E-8
0.20233922, 0.12531877, 0.67234206, 0.49670539E-8
0.20133765, 0.12456579, 0.67409658, 0.12417634E-7
0.19869559, 0.12279821, 0.67850620, 0.49670539E-8
0.19861203, 0.12261409, 0.67877388, 0.0000000
0.19851507, 0.12242184, 0.67906308, 0.24835269E-8
0.19842045, 0.12223125, 0.67934829, 0.0000000
0.19851935, 0.12215995, 0.67932075, 0.49670539E-8
0.19830568, 0.12189639, 0.67979789, 0.24835269E-8
0.20754798, 0.12743968, 0.66501242, 0.24835269E-8
0.20782250, 0.12747343, 0.66470402, 0.14901161E-7
0.20184009, 0.12367175, 0.67448825, 0.49670539E-8
0.19906951, 0.12184139, 0.67908913, 0.14901161E-7
0.19889645, 0.12160388, 0.67949963, 0.74505806E-8
0.19821920, 0.12105813, 0.68072271, 0.49670539E-8
