1.9052759, 1.9052759, 1.9052759, 1.9052759, 1.9052759, 0.76069105, 1.0000000, 0.86381423, 0.32000002, 0.74888831, 0.0000000, 1.0000000, 0.25003441E-2, 0.0000000, 0.0000000
1.7411011, 1.7411011, 1.7411011, 1.7411011, 1.7411011, 0.69272125, 1.0000000, 0.86381429, 0.31999996, 0.74888831, 0.0000000, 1.0000000, 0.24992134E-2, 0.0000000, 0.0000000
1.7171308, 1.7171308, 1.7171308, 1.7171308, 1.7171308, 0.66378349, 1.0000000, 0.86381423, 0.31999999, 0.74888831, 0.0000000, 1.0000000, 0.25004940E-2, 0.0000000, 0.0000000
1.3103933, 1.3103933, 1.3103933, 1.3103933, 1.3103933, 0.54159403, 1.0000000, 0.86381429, 0.31999996, 0.74888831, 0.0000000, 1.0000000, 0.24952509E-2, 0.0000000, 0.0000000
1.3947437, 1.3947437, 1.3947437, 1.3947437, 1.3947437, 0.50835586, 1.0000000, 0.86381423, 0.31999999, 0.74888831, 0.0000000, 1.0000000, 0.24986439E-2, 0.0000000, 0.0000000
1.5691682, 1.5691682, 1.5691682, 1.5691682, 1.5691682, 0.62842333, 1.0000000, 0.86381423, 0.31999996, 0.74888837, 0.0000000, 1.0000000, 0.25046268E-2, 0.0000000, 0.0000000
1.6817929, 1.6817929, 1.6817929, 1.6817929, 1.6817929, 0.70476985, 1.0000000, 0.86381423, 0.31999999, 0.74888831, 0.0000000, 1.0000000, 0.25105905E-2, 0.0000000, 0.0000000
1.5800827, 1.5800827, 1.5800827, 1.5800827, 1.5800827, 0.66040450, 1.0000000, 0.86381423, 0.31999999, 0.74888831, 0.0000000, 1.0000000, 0.25124443E-2, 0.0000000, 0.0000000
1.8403752, 1.8403752, 1.8403752, 1.8403752, 1.8403752, 0.73552275, 1.0000000, 0.86381429, 0.31999996, 0.74888831, 0.0000000, 1.0000000, 0.25257862E-2, 0.0000000, 0.0000000
1.7900501, 1.7900501, 1.7900501, 1.7900501, 1.7900501, 0.70476985, 1.0000000, 0.86381429, 0.31999999, 0.74888831, 0.0000000, 1.0000000, 0.25334032E-2, 0.0000000, 0.0000000
1.6934906, 1.6934906, 1.6934906, 1.6934906, 1.6934906, 0.69272125, 1.0000000, 0.86381423, 0.31999999, 0.74888831, 0.0000000, 1.0000000, 0.25418496E-2, 0.0000000, 0.0000000
1.5800827, 1.5800827, 1.5800827, 1.5800827, 1.5800827, 0.61325896, 1.0000000, 0.86381423, 0.31999996, 0.74888831, 0.0000000, 1.0000000, 0.25539158E-2, 0.0000000, 0.0000000
1.5800827, 1.5800827, 1.5800827, 1.5800827, 1.5800827, 0.63212055, 1.0000000, 0.86381429, 0.31999996, 0.74888831, 0.0000000, 1.0000000, 0.25859037E-2, 0.0000000, 0.0000000
1.5475650, 1.5475650, 1.5475650, 1.5475650, 1.5475650, 0.62468886, 1.0000000, 0.86381423, 0.31999996, 0.74888831, 0.0000000, 1.0000000, 0.26592845E-2, 0.0000000, 0.0000000
1.5910730, 1.5910730, 1.5910730, 1.5910730, 1.5910730, 0.68018097, 1.0000000, 0.86381423, 0.31999996, 0.74888831, 0.0000000, 1.0000000, 0.31436055E-2, 0.0000000, 0.0000000
1.5910730, 1.5910730, 1.5910730, 1.5910730, 1.5910730, 0.66712892, 1.0000000, 0.86381423, 0.31999999, 0.74888831, 0.0000000, 1.0000000, 0.81232411, 0.0000000, 0.0000000
1.5910730, 1.5910730, 1.5910730, 1.5910730, 1.5910730, 0.64654529, 1.0000000, 0.86381429, 0.32000002, 0.74888831, 0.0000000, 1.0000000, 0.98821837, 0.0000000, 0.0000000
